year,wbhao,state,igen,lths,scol,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
1994,White,New Jersey,All,.045202035,.5946908,.38120583,.89081407,.81045943,.69117266,.51435411,.075225376,.11057641,.8141982,53265.715
1994,Hispanic,New Jersey,All,.28980881,.30283916,.086032003,.62886286,.66059774,.59133601,.60152727,.59532821,.37889352,.02577824,29153.469
1994,White,Illinois,All,.057289213,.59734893,.31283674,.91302967,.83681345,.69027686,.52033412,.055614933,.056931052,.88745403,45403.34
1994,Hispanic,Illinois,All,.49816328,.25400618,.092435755,.62423307,.72989678,.67680109,.65899462,.66803688,.24445701,.087506108,26049.561
1994,White,Florida,All,.08481051,.58402508,.27890384,.81609744,.82253879,.67250317,.49265975,.047684085,.063164465,.88915145,39626.938
1994,Hispanic,Florida,All,.25809392,.44568771,.14265729,.59047544,.73597884,.62744361,.53203017,.74803233,.19637692,.055590738,25210.973
1994,White,Texas,All,.064494409,.62620831,.31170169,.84630138,.81767076,.72608829,.50889957,.025345769,.026431402,.94822282,42336.598
1994,Hispanic,Texas,All,.41323885,.3058219,.11644744,.60713673,.75292087,.69371039,.68220353,.35671112,.20238742,.44090146,24882.971
1994,White,California,All,.050508574,.68441033,.33542463,.84220129,.79541057,.64297849,.50197983,.087061182,.09070956,.82222927,50493.039
1994,Hispanic,California,All,.42355219,.29147112,.074301712,.66046184,.70378554,.67937958,.72817516,.63930595,.15029803,.21039601,25852.436
1995,White,New York,1st Generation,.09508428,.52543396,.3622404,.76503795,.66605937,.72244257,.49927551,,,,42792.199
1995,Hispanic,New York,1st Generation,.38072199,.27611643,.10000797,.56660861,.57201165,.60068977,.70900804,,,,23740.908
1995,White,New Jersey,1st Generation,.16799505,.4970215,.36066425,.73909926,.78106278,.71745676,.55750668,,,,39568.184
1995,Hispanic,New Jersey,1st Generation,.29067743,.37346661,.11256923,.6446619,.76556695,.65181416,.66270399,,,,28489.092
1995,White,Illinois,1st Generation,.080704033,.65264273,.40893492,.8961882,.74082816,.78063339,.53168571,,,,46215.637
1995,Hispanic,Illinois,1st Generation,.5104568,.20813105,.060382262,.73556393,.72892421,.78662097,.69072038,,,,28900.6
1995,White,Florida,1st Generation,.11674515,.5399344,.28748992,.73010361,.80587155,.7048263,.44663867,,,,39576.094
1995,Hispanic,Florida,1st Generation,.28805026,.43425703,.16173588,.62793362,.783337,.68435282,.57916594,,,,24690.545
1995,White,Texas,1st Generation,.026292529,.72206146,.42924139,.86819094,.81981999,.80631834,.60532588,,,,47481.816
1995,Hispanic,Texas,1st Generation,.62466109,.2049572,.10893805,.42893514,.6805039,.77314079,.76378947,,,,19625.818
1995,White,California,1st Generation,.066006355,.702061,.47522774,.75702965,.66074449,.76661456,.57768816,,,,47481.816
1995,Hispanic,California,1st Generation,.58884621,.17571644,.060178943,.50408816,.64638168,.69093329,.77985579,,,,23740.908
1995,White,New York,2nd Generation,.032829173,.70132613,.40447646,.86496228,.80737251,.65737569,.44474438,,,,54425.242
