year,wbhao,igen,lths,scol,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2000,Hispanic,2nd Generation,.21469909,.44324586,.15661809,.79363948,.77368283,.57234681,.63743287,,,,35574.172
2000,White,3rd Generation,.061145648,.60355818,.31220928,.89049923,.83399659,.68452024,.5074023,,,,46448.484
2000,Hispanic,3rd Generation,.15890639,.45390859,.14194693,.79717672,.77903801,.62351501,.64632618,,,,35578.441
2000,White,All,.061087634,.60964257,.32143196,.8888911,.83335316,.68373114,.50490779,.042435005,.047909759,.90965521,46957.906
2000,Hispanic,All,.35365933,.32631961,.12293389,.65747702,.75492787,.6584096,.69741946,.55822414,.206081,.23569486,28459.338
2001,White,1st Generation,.089881271,.64667499,.43257686,.84157038,.76934725,.72679687,.50130624,,,,47503.84
2001,Hispanic,1st Generation,.50181365,.21899223,.092666976,.57755584,.74126643,.71382183,.73125768,,,,26149.406
2001,White,2nd Generation,.030830925,.7156871,.41472635,.91101801,.84531325,.64419961,.46584928,,,,54184.324
2001,Hispanic,2nd Generation,.21856737,.45054388,.16483398,.77856225,.75349468,.55138177,.6322214,,,,35784.777
2001,White,3rd Generation,.058521509,.61514819,.31897938,.89714324,.82870221,.68278092,.50187415,,,,47953.883
2001,Hispanic,3rd Generation,.16307345,.44036704,.14617136,.81309909,.79863113,.62434012,.64038986,,,,34597.043
2001,White,All,.058659445,.62156409,.32906544,.89517784,.82669067,.68298846,.50008565,.047574326,.048896901,.90352875,48169.961
2001,Hispanic,All,.36779273,.31605169,.1194305,.6715737,.75667244,.66054648,.69060349,.57093781,.20398104,.22508116,28904.729
2002,White,1st Generation,.073164366,.64153433,.43976805,.81942797,.76065469,.76793253,.60161424,,,,46865.766
2002,Hispanic,1st Generation,.4932355,.22933885,.10106151,.52421069,.72830683,.69760382,.71702838,,,,26774.318
2002,White,2nd Generation,.03241479,.72641438,.43335825,.90387088,.82434452,.6739735,.54011077,,,,53548.637
2002,Hispanic,2nd Generation,.18831572,.46251225,.16477959,.75526083,.7531715,.56195748,.62934589,,,,36145.328
2002,White,3rd Generation,.056912798,.61972135,.32599431,.89066851,.81862921,.70724928,.59027362,,,,46963.492
2002,Hispanic,3rd Generation,.17428216,.4406777,.15796676,.77543133,.77460641,.61219943,.61521602,,,,37834.789
2002,White,All,.056436494,.62597895,.33643976,.88810229,.81629235,.70834661,.58830726,.045179088,.04941358,.90540731,47122.801
2002,Hispanic,All,.36375231,.32119927,.12597778,.62442094,.7433241,.65241373,.67757618,.58546627,.19479883,.21973489,29451.75
2003,White,1st Generation,.058930863,.64600116,.44169953,.81016475,.75552046,.77545196,.61199898,,,,46110.48
2003,Hispanic,1st Generation,.50012225,.21989973,.1047418,.51674438,.71954489,.70158815,.7215265,,,,26348.846
2003,White,2nd Generation,.027466379,.74765992,.44647056,.89392012,.82835257,.6873464,.54747319,,,,52427.617
2003,Hispanic,2nd Generation,.19489962,.45055485,.17832708,.75913298,.76372534,.5458805,.62543005,,,,39521.953
2003,White,3rd Generation,.055905771,.62430239,.33032128,.88168728,.81347281,.70587051,.58738536,,,,46439.84
2003,Hispanic,3rd Generation,.15687935,.4532091,.14302447,.76900131,.77197504,.59994495,.61022037,,,,36921.32
2003,White,All,.054712277,.63107413,.34086302,.87898427,.81151533,.7081899,.58664334,.045803402,.046838295,.90735829,46637.457
2003,Hispanic,All,.36639801,.31529295,.12732676,.61852717,.73949748,.64931786,.67872143,.5889231,.19397517,.21710172,31420.998
