,% Employed,% Married,% less than High School diploma,% with Children,% with College Degree,% with Health Insurance,Median Individual Real Income,igen,scol,state,wbhao,wbhao_igen,year
61,0.57201165,0.60068977,0.38072199,0.70900804,0.10000797,0.56660861,23740.908,1st Generation,0.27611643,New York,Hispanic,Hispanic 1st Generation,1995
69,0.6805039,0.77314079,0.62466109,0.76378947,0.10893805,0.42893514,19625.818,1st Generation,0.2049572,Texas,Hispanic,Hispanic 1st Generation,1995
13,0.70378375,0.5837093000000001,0.25540182,0.64503777,0.11769452,0.75949669,34820.0,2nd Generation,0.39588329,National,Hispanic,Hispanic 2nd Generation,1995
83,0.74070281,0.61751831,0.19944414,0.61970878,0.099146724,0.77043957,36858.551,2nd Generation,0.45281804,California,Hispanic,Hispanic 2nd Generation,1995
79,0.69662601,0.61773056,0.26574963,0.64925915,0.14230841,0.81728309,34503.453,2nd Generation,0.46544191,Florida,Hispanic,Hispanic 2nd Generation,1995
77,0.77418649,0.64903027,0.22454858,0.59415573,0.23392177,0.86959523,37961.715,2nd Generation,0.59008688,Illinois,Hispanic,Hispanic 2nd Generation,1995
75,0.66056955,0.56943887,0.27069667,0.64132553,0.11701611,0.78427547,38523.582,2nd Generation,0.33722326,New Jersey,Hispanic,Hispanic 2nd Generation,1995
73,0.57468259,0.43550754,0.29936498,0.60148364,0.10635068,0.81431961,36597.402,2nd Generation,0.33717534,New York,Hispanic,Hispanic 2nd Generation,1995
81,0.68337768,0.61655194,0.29244226,0.63871455,0.10650434,0.62191945,31654.545,2nd Generation,0.3677257,Texas,Hispanic,Hispanic 2nd Generation,1995
15,0.75727457,0.64851636,0.1959365,0.65274781,0.10992937,0.74831897,33253.102,3rd Generation,0.38197076,National,Hispanic,Hispanic 3rd Generation,1995
95,0.76286554,0.56269532,0.12540768,0.68932641,0.084981352,0.76884872,36481.863,3rd Generation,0.41224778,California,Hispanic,Hispanic 3rd Generation,1995
91,0.64755923,0.73743188,0.28501421,0.59419602,0.13754712,0.73200822,52230.0,3rd Generation,0.4854674,Florida,Hispanic,Hispanic 3rd Generation,1995
