,% Employed,% Married,% less than High School diploma,% with Children,% with College Degree,% with Health Insurance,Median Individual Real Income,igen,scol,state,wbhao,wbhao_igen,year
259,0.77521753,0.7056703000000001,0.21577765,0.60940295,0.25591448,0.62935418,29065.109,1st Generation,0.46749765,Florida,Hispanic,Hispanic 1st Generation,1999
257,0.77576727,0.83476669,0.50613451,0.81381857,0.10198331,0.62193,24705.342,1st Generation,0.23789786,Illinois,Hispanic,Hispanic 1st Generation,1999
255,0.80694669,0.68746006,0.18999317,0.64094996,0.16025406,0.68431044,34888.305,1st Generation,0.34301883,New Jersey,Hispanic,Hispanic 1st Generation,1999
253,0.66294664,0.60893255,0.35707283,0.72992778,0.12870336,0.54410589,25693.557,1st Generation,0.30635598,New York,Hispanic,Hispanic 1st Generation,1999
261,0.73356676,0.72180426,0.58589756,0.70146662,0.088535495,0.4306215,22670.785,1st Generation,0.18518010000000001,Texas,Hispanic,Hispanic 1st Generation,1999
45,0.74412358,0.58273941,0.22897036,0.61982417,0.16206789,0.75606555,36331.387,2nd Generation,0.43146223,National,Hispanic,Hispanic 2nd Generation,1999
275,0.79657823,0.5317116999999999,0.16914563,0.5693844,0.17174016,0.77273417,36331.387,2nd Generation,0.45988777,California,Hispanic,Hispanic 2nd Generation,1999
271,0.78238219,0.65057164,0.15119992,0.51475561,0.23971096,0.79989153,36418.582,2nd Generation,0.53715646,Florida,Hispanic,Hispanic 2nd Generation,1999
269,0.82505262,0.50485361,0.21667795,0.60648656,0.1329779,0.84403521,34878.129,2nd Generation,0.40439966,Illinois,Hispanic,Hispanic 2nd Generation,1999
267,0.68557519,0.49814323,0.19926223,0.55172056,0.13682592,0.72075719,37784.641,2nd Generation,0.39349499,New Jersey,Hispanic,Hispanic 2nd Generation,1999
265,0.59130269,0.51601118,0.28201839,0.59118313,0.15461101,0.76889306,43830.184,2nd Generation,0.42093915,New York,Hispanic,Hispanic 2nd Generation,1999
273,0.75782102,0.70390326,0.28598917,0.76166439,0.12680165,0.61828732,34878.129,2nd Generation,0.40989333,Texas,Hispanic,Hispanic 2nd Generation,1999
47,0.79365128,0.61045408,0.19257644,0.66216868,0.13860039,0.73353541,36331.387,3rd Generation,0.42331928,National,Hispanic,Hispanic 3rd Generation,1999
287,0.75994772,0.58786231,0.15234321,0.62537563,0.11449257,0.72287524,40691.152,3rd Generation,0.45824972,California,Hispanic,Hispanic 3rd Generation,1999
283,0.75749195,0.63051701,0.18458493,0.7114473000000001,0.25487953,0.74905497,43814.199,3rd Generation,0.47079048,Florida,Hispanic,Hispanic 3rd Generation,1999
281,0.82626373,0.59228128,0.29849887,0.59333736,0.098510519,0.91860878,46831.155999999995,3rd Generation,0.44778234,Illinois,Hispanic,Hispanic 3rd Generation,1999
279,0.61917657,0.65197885,0.15244822,0.53974569,0.073137991,0.79988909,43597.664000000004,3rd Generation,0.39639425,New Jersey,Hispanic,Hispanic 3rd Generation,1999
277,0.6844722,0.48575589,0.064994812,0.62614733,0.22012608,0.65636766,39237.898,3rd Generation,0.48357549,New York,Hispanic,Hispanic 3rd Generation,1999
285,0.80050278,0.62734842,0.24532622,0.71788627,0.13195626,0.68824834,30518.362999999998,3rd Generation,0.38180026,Texas,Hispanic,Hispanic 3rd Generation,1999
49,0.75074261,0.65766788,0.35690019,0.68981326,0.12736586,0.62629896,29065.109,All,0.32874659,National,Hispanic,Hispanic All,1999
299,0.74873215,0.65801537,0.42587414,0.70583206,0.090134047,0.58077902,27611.854,All,0.27877417,California,Hispanic,Hispanic All,1999
295,0.77573723,0.68392813,0.19506887,0.59145069,0.25128826,0.68717438,32465.727000000003,All,0.48728868,Florida,Hispanic,Hispanic All,1999
293,0.79328877,0.73127145,0.41606903,0.73894674,0.10791609,0.71086955,30518.362999999998,All,0.30276385,Illinois,Hispanic,Hispanic All,1999
291,0.75033069,0.61812699,0.19049166,0.60204327,0.14557506,0.70567572,36331.387,All,0.36474228,New Jersey,Hispanic,Hispanic All,1999
289,0.63544697,0.56434184,0.30968156,0.66808081,0.14450704,0.64100701,31971.619,All,0.36283755,New York,Hispanic,Hispanic All,1999
297,0.76929545,0.67404872,0.37532306,0.71907854,0.1153873,0.58351809,27611.854,All,0.31516045,Texas,Hispanic,Hispanic All,1999
48,0.83101887,0.68144304,0.064569347,0.50745201,0.31887259999999995,0.8709867,45777.547,All,0.60123378,National,White,White All,1999
298,0.81838328,0.61848438,0.044126365,0.46742994,0.36753789,0.85318613,53189.148,All,0.71077353,California,White,White All,1999
294,0.8205424000000001,0.64748478,0.062214088,0.43662146,0.2532506,0.84006453,43597.664000000004,All,0.58023065,Florida,White,White All,1999
292,0.86976719,0.68458545,0.036018331,0.54026949,0.340253,0.88444859,49519.68,All,0.64484775,Illinois,White,White All,1999
290,0.84121895,0.68223578,0.037697989,0.49965143,0.39868563,0.86584359,57851.191,All,0.6425994,New Jersey,White,White All,1999
288,0.81111836,0.65607238,0.056893673,0.50985479,0.34746188,0.8582108,49991.988,All,0.63317215,New York,White,White All,1999
296,0.83084846,0.7092579000000001,0.050891034,0.50986362,0.36349967,0.86519063,49862.648,All,0.67305702,Texas,White,White All,1999
51,0.7378241999999999,0.70491487,0.48718873,0.74113762,0.10247088,0.54822522,24211.781000000003,1st Generation,0.22928268,National,Hispanic,Hispanic 1st Generation,2000
311,0.71440691,0.7218889000000001,0.55511558,0.77307397,0.060229223,0.54880178,24190.438,1st Generation,0.19506466,California,Hispanic,Hispanic 1st Generation,2000
307,0.77220863,0.71449345,0.23368382,0.69312334,0.25490335,0.60106051,28459.338,1st Generation,0.41218674,Florida,Hispanic,Hispanic 1st Generation,2000
305,0.73957855,0.80010784,0.5334114999999999,0.8374756,0.088451147,0.73855907,32728.237999999998,1st Generation,0.14049068,Illinois,Hispanic,Hispanic 1st Generation,2000
303,0.79322815,0.69609767,0.17926286,0.66409147,0.11360106,0.56309944,30753.16,1st Generation,0.24536577,New Jersey,Hispanic,Hispanic 1st Generation,2000
301,0.73181772,0.59965849,0.38935116,0.64977646,0.12329616,0.50363541,24190.438,1st Generation,0.28016561,New York,Hispanic,Hispanic 1st Generation,2000
309,0.75115758,0.72086298,0.59503412,0.75032043,0.081053682,0.46366352,23912.959,1st Generation,0.16663626,Texas,Hispanic,Hispanic 1st Generation,2000
53,0.77368283,0.57234681,0.21469909,0.63743287,0.15661809,0.79363948,35574.172,2nd Generation,0.44324586,National,Hispanic,Hispanic 2nd Generation,2000
323,0.75754154,0.52592075,0.19125289,0.57715774,0.12649722,0.81957889,39843.074,2nd Generation,0.45895070000000004,California,Hispanic,Hispanic 2nd Generation,2000
319,0.80303913,0.61066437,0.12606329,0.58595616,0.24206603,0.84020895,34166.859,2nd Generation,0.52961779,Florida,Hispanic,Hispanic 2nd Generation,2000
317,0.83956325,0.70033389,0.20006911,0.78598005,0.22043428,0.75739563,40975.754,2nd Generation,0.46966270000000004,Illinois,Hispanic,Hispanic 2nd Generation,2000
315,0.82489926,0.47332492,0.19652477,0.64880204,0.15539563,0.82250416,38420.105,2nd Generation,0.38043675,New Jersey,Hispanic,Hispanic 2nd Generation,2000
313,0.66580677,0.47970992,0.21971035,0.59875321,0.1308331,0.81265426,35574.172,2nd Generation,0.39130631,New York,Hispanic,Hispanic 2nd Generation,2000
321,0.80831474,0.72427881,0.29078069,0.71894997,0.09465646,0.6768232,28459.338,2nd Generation,0.40244466,Texas,Hispanic,Hispanic 2nd Generation,2000
55,0.77903801,0.62351501,0.15890639,0.64632618,0.14194693,0.79717672,35578.441,3rd Generation,0.45390859,National,Hispanic,Hispanic 3rd Generation,2000
335,0.76193213,0.60912126,0.13323066,0.63898659,0.091542304,0.85809481,39985.371,3rd Generation,0.45031068,California,Hispanic,Hispanic 3rd Generation,2000
331,0.8665303,0.63803893,0.16409200000000002,0.53828865,0.31768715,0.8495689000000001,44111.973,3rd Generation,0.71713382,Florida,Hispanic,Hispanic 3rd Generation,2000
329,0.74444121,0.66218495,0.2713933,0.65373743,0.1249143,0.68918473,33439.723,3rd Generation,0.43738291,Illinois,Hispanic,Hispanic 3rd Generation,2000
327,0.65891868,0.60728639,0.15805393,0.24392937,0.0,0.75312006,28174.744,3rd Generation,0.1573322,New Jersey,Hispanic,Hispanic 3rd Generation,2000
325,0.67362732,0.64850861,0.041327529,0.69636393,0.20046581,0.78423208,34354.691,3rd Generation,0.33895072,New York,Hispanic,Hispanic 3rd Generation,2000
333,0.77159035,0.62179548,0.19687909,0.6892634,0.13162786,0.74600214,32159.053,3rd Generation,0.42612740000000005,Texas,Hispanic,Hispanic 3rd Generation,2000
57,0.75492787,0.6584095999999999,0.35365933,0.69741946,0.12293389,0.65747702,28459.338,All,0.32631961,National,Hispanic,Hispanic All,2000
347,0.72963768,0.67118561,0.42287403,0.71855646,0.076152176,0.64637655,28459.338,All,0.28187767,California,Hispanic,Hispanic All,2000
343,0.78618783,0.68067402,0.19916017,0.65404308,0.25469291,0.68293697,29654.631,All,0.46244663,Florida,Hispanic,Hispanic All,2000
341,0.7572732,0.76199085,0.43662587,0.80049747,0.11642799,0.73416048,34151.207,All,0.24193135,Illinois,Hispanic,Hispanic All,2000
339,0.79638904,0.60161459,0.18462035,0.62866145,0.12222105,0.67917317,33187.855,All,0.29273424,New Jersey,Hispanic,Hispanic All,2000
337,0.70378917,0.55773705,0.30575353,0.63344818,0.13060658,0.63532346,28435.147999999997,All,0.32507262,New York,Hispanic,Hispanic All,2000
345,0.76948392,0.67810595,0.37094271,0.71846789,0.10540294,0.62214476,28459.338,All,0.31884876,Texas,Hispanic,Hispanic All,2000
56,0.83335316,0.68373114,0.061087634,0.50490779,0.32143196,0.8888911,46957.905999999995,All,0.60964257,National,White,White All,2000
346,0.81100315,0.61410195,0.04320322,0.47616613,0.36979166,0.88045043,54172.352,All,0.71542853,California,White,White All,2000
342,0.81641042,0.64472061,0.064440913,0.45720756,0.27322477,0.82453519,43683.66,All,0.59107876,Florida,White,White All,2000
340,0.85457295,0.69111347,0.050673697000000004,0.51656789,0.33450469,0.90543836,50515.324,All,0.62585622,Illinois,White,White All,2000
338,0.83019352,0.66984177,0.032738118999999996,0.49526912,0.37184727,0.89400208,56581.434,All,0.63740575,New Jersey,White,White All,2000
336,0.81758291,0.65596497,0.049968727000000004,0.49077639,0.36928344,0.89940268,50152.469000000005,All,0.63603908,New York,White,White All,2000
344,0.83516526,0.67362541,0.0493985,0.48288929,0.36560184,0.85732579,49803.84,All,0.67195499,Texas,White,White All,2000
59,0.74126643,0.71382183,0.50181365,0.73125768,0.092666976,0.57755584,26149.406000000003,1st Generation,0.21899223,National,Hispanic,Hispanic 1st Generation,2001
359,0.71091461,0.70695353,0.56410897,0.75520825,0.059913889000000005,0.5824573000000001,24773.123,1st Generation,0.1944932,California,Hispanic,Hispanic 1st Generation,2001
355,0.80263776,0.64848119,0.27550161,0.56967664,0.17634256,0.59936374,25048.379,1st Generation,0.37274632,Florida,Hispanic,Hispanic 1st Generation,2001
353,0.79810536,0.76579899,0.49399146,0.75817657,0.078278556,0.62645113,33030.828,1st Generation,0.17516439,Illinois,Hispanic,Hispanic 1st Generation,2001
351,0.76988429,0.62414289,0.29851255,0.7464847,0.11945529,0.64029586,28626.718999999997,1st Generation,0.26629084,New Jersey,Hispanic,Hispanic 1st Generation,2001
349,0.72640336,0.63344276,0.40259728,0.66057372,0.11504,0.54488212,25764.047000000002,1st Generation,0.26086187,New York,Hispanic,Hispanic 1st Generation,2001
357,0.76735276,0.81187636,0.59053856,0.79270989,0.089941718,0.53871495,27525.691000000003,1st Generation,0.18195671,Texas,Hispanic,Hispanic 1st Generation,2001
61,0.75349468,0.55138177,0.21856737,0.6322214,0.16483398,0.77856225,35784.777,2nd Generation,0.45054388,National,Hispanic,Hispanic 2nd Generation,2001
371,0.73110968,0.50656831,0.21409103,0.6057387,0.14110224,0.76165301,35784.777,2nd Generation,0.43122885,California,Hispanic,Hispanic 2nd Generation,2001
367,0.85755259,0.59039682,0.12195285,0.57984996,0.25860173,0.81943715,38535.969,2nd Generation,0.61848807,Florida,Hispanic,Hispanic 2nd Generation,2001
365,0.726803,0.61093998,0.08482033,0.64939165,0.08655354400000001,0.8524461999999999,35264.539,2nd Generation,0.51502466,Illinois,Hispanic,Hispanic 2nd Generation,2001
363,0.82677585,0.52821678,0.27408081,0.69107902,0.13019063,0.88423961,35783.398,2nd Generation,0.31282699,New Jersey,Hispanic,Hispanic 2nd Generation,2001
361,0.61449695,0.4289647,0.22868431,0.56819123,0.16852592,0.78381795,35783.398,2nd Generation,0.38346303,New York,Hispanic,Hispanic 2nd Generation,2001
369,0.81768739,0.68912297,0.26864961,0.69170916,0.14135861,0.71469045,33965.328,2nd Generation,0.46434683,Texas,Hispanic,Hispanic 2nd Generation,2001
63,0.79863113,0.62434012,0.16307345,0.64038986,0.14617136,0.81309909,34597.043,3rd Generation,0.44036704,National,Hispanic,Hispanic 3rd Generation,2001
383,0.81967366,0.58013201,0.098470382,0.66452962,0.1120671,0.84282392,41288.539,3rd Generation,0.4466545,California,Hispanic,Hispanic 3rd Generation,2001
379,0.85213584,0.53958267,0.15040138,0.52953613,0.26330236,0.86669874,43380.488,3rd Generation,0.59324169,Florida,Hispanic,Hispanic 3rd Generation,2001
377,0.81050491,0.46579259999999995,0.13391106,0.44104344,0.10097318,0.75440991,28626.718999999997,3rd Generation,0.31223598,Illinois,Hispanic,Hispanic 3rd Generation,2001
375,0.7340017,0.78016537,0.3003599,0.48266295,0.32050577,0.91466898,64674.363,3rd Generation,0.41184977,New Jersey,Hispanic,Hispanic 3rd Generation,2001
373,0.70783198,0.51683795,0.059330411,0.53771877,0.30457717,0.89229888,41288.539,3rd Generation,0.48386312,New York,Hispanic,Hispanic 3rd Generation,2001
381,0.78883439,0.66477919,0.23321091,0.67337352,0.1192354,0.79067624,29303.852000000003,3rd Generation,0.42419988,Texas,Hispanic,Hispanic 3rd Generation,2001
65,0.75667244,0.66054648,0.36779273,0.69060349,0.11943050000000001,0.6715736999999999,28904.729,All,0.31605169,National,Hispanic,Hispanic All,2001
395,0.73537755,0.6477536,0.41365725,0.71180564,0.08404779400000001,0.66371828,28626.718999999997,All,0.28415382,California,Hispanic,Hispanic All,2001
391,0.82170159,0.62344009,0.22334419,0.56895518,0.20600429,0.68171144,29053.367000000002,All,0.45796928,Florida,Hispanic,Hispanic All,2001
389,0.78621024,0.70377725,0.37799919,0.7028324,0.082330287,0.68266642,33718.973,All,0.25357583,Illinois,Hispanic,Hispanic All,2001
387,0.78854924,0.59916401,0.28957516,0.70799977,0.13710316,0.74943626,33083.129,All,0.29344723,New Jersey,Hispanic,Hispanic All,2001
385,0.68230522,0.54664767,0.31041723,0.61608207,0.1497049,0.66218573,30278.262000000002,All,0.32441673,New York,Hispanic,Hispanic All,2001
393,0.78369975,0.73467863,0.39930061,0.72985989,0.10953743,0.66557872,28626.718999999997,All,0.32164836,Texas,Hispanic,Hispanic All,2001
64,0.82669067,0.68298846,0.058659445,0.50008565,0.32906544,0.89517784,48169.960999999996,All,0.62156409,National,White,White All,2001
394,0.81266618,0.6070779000000001,0.033355094,0.48539379,0.40258351,0.90275288,55250.945,All,0.74706429,California,White,White All,2001
390,0.80679226,0.6522819999999999,0.05300175,0.44484085,0.31205636,0.85711426,43321.309,All,0.62700903,Florida,White,White All,2001
388,0.83790493,0.68182838,0.055907637,0.50549418,0.31927398,0.90101933,49122.348,All,0.62879127,Illinois,White,White All,2001
386,0.82211053,0.70650911,0.040548351,0.52827913,0.37637398,0.90416431,55739.527,All,0.64523542,New Jersey,White,White All,2001
384,0.79621351,0.67058891,0.043775707000000004,0.49025905,0.3723183,0.88783187,52508.008,All,0.64120603,New York,White,White All,2001
392,0.81767279,0.69336015,0.055070247999999995,0.47869498,0.35745570000000004,0.87121898,51763.441,All,0.67583692,Texas,White,White All,2001
67,0.72830683,0.69760382,0.49323549999999994,0.71702838,0.10106151,0.52421069,26774.318,1st Generation,0.22933885,National,Hispanic,Hispanic 1st Generation,2002
407,0.70410794,0.68691015,0.55755436,0.74600035,0.062389920999999994,0.54104936,26774.318,1st Generation,0.18690771,California,Hispanic,Hispanic 1st Generation,2002
403,0.76397789,0.65012258,0.30441314,0.59573692,0.1971855,0.53983754,26774.318,1st Generation,0.365798,Florida,Hispanic,Hispanic 1st Generation,2002
401,0.78163075,0.72974056,0.42141551,0.71729666,0.09409211599999999,0.63661849,32129.182,1st Generation,0.28141874,Illinois,Hispanic,Hispanic 1st Generation,2002
399,0.78005821,0.66692513,0.22410369,0.71272457,0.14187153,0.58385164,29451.75,1st Generation,0.36937314,New Jersey,Hispanic,Hispanic 1st Generation,2002
397,0.71650404,0.63099372,0.34257862,0.63472503,0.16671170000000002,0.50762576,24407.468999999997,1st Generation,0.32028231,New York,Hispanic,Hispanic 1st Generation,2002
405,0.70911527,0.7795043,0.60753107,0.78918678,0.09472932699999999,0.40304244,24086.176,1st Generation,0.18247686,Texas,Hispanic,Hispanic 1st Generation,2002
69,0.7531715,0.56195748,0.18831572,0.62934589,0.16477959,0.75526083,36145.328,2nd Generation,0.46251225,National,Hispanic,Hispanic 2nd Generation,2002
419,0.77035815,0.56881428,0.15246944,0.6177904000000001,0.16211270000000003,0.73195839,40161.477,2nd Generation,0.4756062,California,Hispanic,Hispanic 2nd Generation,2002
415,0.82221657,0.60509646,0.15567675,0.57777804,0.27982861,0.7290525999999999,33469.234,2nd Generation,0.59859645,Florida,Hispanic,Hispanic 2nd Generation,2002
413,0.82093352,0.47151133,0.14375424,0.58353209,0.10760791,0.80199212,42946.004,2nd Generation,0.53242177,Illinois,Hispanic,Hispanic 2nd Generation,2002
411,0.69525528,0.54299122,0.21284099,0.63918465,0.09127040199999999,0.7991274,38822.762,2nd Generation,0.40841901,New Jersey,Hispanic,Hispanic 2nd Generation,2002
409,0.68121588,0.44560874,0.20155716,0.51723045,0.1936786,0.81706649,37805.336,2nd Generation,0.38899237,New York,Hispanic,Hispanic 2nd Generation,2002
417,0.79491997,0.61891085,0.20116141,0.69622445,0.15011019,0.66337204,32129.182,2nd Generation,0.44984582,Texas,Hispanic,Hispanic 2nd Generation,2002
71,0.77460641,0.61219943,0.17428216,0.61521602,0.15796676,0.77543133,37834.789,3rd Generation,0.4406777,National,Hispanic,Hispanic 3rd Generation,2002
431,0.77705431,0.56824934,0.12076138,0.61731362,0.14817852,0.83070099,42275.309,3rd Generation,0.5126667,California,Hispanic,Hispanic 3rd Generation,2002
427,0.88902861,0.5492505999999999,0.18850368,0.55969399,0.22590487,0.6753543000000001,29557.507999999998,3rd Generation,0.44331273,Florida,Hispanic,Hispanic 3rd Generation,2002
425,0.7572149,0.74954683,0.20080781,0.60606581,0.12184653,0.76455605,49532.488,3rd Generation,0.17584139,Illinois,Hispanic,Hispanic 3rd Generation,2002
423,0.71274012,0.65773237,0.22227047,0.39478317,0.49322546,0.93808758,75740.531,3rd Generation,0.49322546,New Jersey,Hispanic,Hispanic 3rd Generation,2002
421,0.78093338,0.49050805,0.13497528,0.64158988,0.39361084,0.82553518,42838.905999999995,3rd Generation,0.55121219,New York,Hispanic,Hispanic 3rd Generation,2002
429,0.77605677,0.6503247,0.25369221,0.62151855,0.13210484,0.70431435,33414.348,3rd Generation,0.38022685,Texas,Hispanic,Hispanic 3rd Generation,2002
73,0.7433241,0.65241373,0.36375231,0.67757618,0.12597778,0.62442094,29451.75,All,0.32119927,National,Hispanic,Hispanic All,2002
443,0.72782683,0.64668661,0.41419667,0.70235664,0.09374859199999999,0.62377042,29451.75,All,0.29169303,California,Hispanic,Hispanic All,2002
439,0.78681427,0.63221323,0.25841105,0.58884746,0.22058508,0.59763628,28113.033,All,0.43150759,Florida,Hispanic,Hispanic All,2002
437,0.78892612,0.66697925,0.32842049,0.67197365,0.10041332,0.69164151,34806.613,All,0.33332005,Illinois,Hispanic,Hispanic All,2002
435,0.7492643,0.62727624,0.22044063,0.67043769,0.14700194,0.67303032,33467.898,All,0.38912621,New Jersey,Hispanic,Hispanic All,2002
433,0.70828718,0.56010079,0.2828193,0.59534562,0.18897578,0.63078737,29462.459,All,0.35691151,New York,Hispanic,Hispanic All,2002
441,0.74995619,0.70146686,0.39898407,0.70583987,0.11869319,0.56729728,26774.318,All,0.30528274,Texas,Hispanic,Hispanic All,2002
72,0.81629235,0.70834661,0.056436494000000004,0.58830726,0.33643976,0.88810229,47122.801,All,0.62597895,National,White,White All,2002
442,0.81237906,0.64515954,0.033767167,0.54592216,0.40103295,0.89130658,55824.453,All,0.74506563,California,White,White All,2002
438,0.80321151,0.66974533,0.062916473,0.53434473,0.32816344,0.8478412000000001,45516.34,All,0.63347059,Florida,White,White All,2002
436,0.82228857,0.72432941,0.041334201,0.58478999,0.34901401,0.88252991,47591.348,All,0.63363677,Illinois,White,White All,2002
434,0.79974848,0.74975425,0.036449675,0.64187866,0.38653058,0.89797771,54224.687999999995,All,0.62356168,New Jersey,White,White All,2002
432,0.78746301,0.69998997,0.050122670999999994,0.59272105,0.35665949999999996,0.8833214,50228.621,All,0.63270319,New York,White,White All,2002
440,0.81991923,0.73954058,0.044854693,0.59289944,0.39997542,0.87082922,53582.102,All,0.70036268,Texas,White,White All,2002
75,0.71954489,0.70158815,0.50012225,0.7215265000000001,0.10474180000000001,0.51674438,26348.846,1st Generation,0.21989973,National,Hispanic,Hispanic 1st Generation,2003
455,0.70278192,0.70557398,0.55447537,0.76760244,0.061368585,0.56915033,26348.846,1st Generation,0.18140516,California,Hispanic,Hispanic 1st Generation,2003
451,0.73622733,0.69981778,0.24439691,0.60855657,0.23491700000000001,0.57038313,27666.289,1st Generation,0.39373803,Florida,Hispanic,Hispanic 1st Generation,2003
449,0.6986741999999999,0.78424948,0.48513702,0.76273578,0.08054860700000001,0.56772822,26032.66,1st Generation,0.17626877,Illinois,Hispanic,Hispanic 1st Generation,2003
447,0.77451158,0.66462165,0.25994501,0.63382679,0.23893937,0.59948802,32936.059,1st Generation,0.35086617,New Jersey,Hispanic,Hispanic 1st Generation,2003
445,0.72236311,0.61549234,0.36208791,0.65456229,0.15892154,0.52014643,26874.506,1st Generation,0.30593497,New York,Hispanic,Hispanic 1st Generation,2003
453,0.68160951,0.73951864,0.61678141,0.75655246,0.078517728,0.35829759,23713.961,1st Generation,0.15946533,Texas,Hispanic,Hispanic 1st Generation,2003
77,0.76372534,0.5458805,0.19489962,0.62543005,0.17832708,0.75913298,39521.953,2nd Generation,0.45055485,National,Hispanic,Hispanic 2nd Generation,2003
467,0.81124413,0.54360121,0.16646429999999998,0.6644326999999999,0.17025492,0.76296514,43508.530999999995,2nd Generation,0.48978737,California,Hispanic,Hispanic 2nd Generation,2003
463,0.80844301,0.59469658,0.095376238,0.62039775,0.26749527,0.77981943,39523.27,2nd Generation,0.58122253,Florida,Hispanic,Hispanic 2nd Generation,2003
461,0.82784635,0.5373739000000001,0.1713676,0.51443493,0.09700004,0.9015738999999999,43475.598,2nd Generation,0.48555616,Illinois,Hispanic,Hispanic 2nd Generation,2003
459,0.6906206,0.49380103,0.19013649,0.65145105,0.23397481,0.79289174,46110.48,2nd Generation,0.48554844,New Jersey,Hispanic,Hispanic 2nd Generation,2003
457,0.67598194,0.46098885,0.24782310000000002,0.57357121,0.20312446,0.75112081,39523.27,2nd Generation,0.37966731,New York,Hispanic,Hispanic 2nd Generation,2003
465,0.77043897,0.60876817,0.21870132,0.63949579,0.15699032,0.63768137,32936.059,2nd Generation,0.45075968,Texas,Hispanic,Hispanic 2nd Generation,2003
79,0.77197504,0.59994495,0.15687935,0.61022037,0.14302447,0.76900131,36921.32,3rd Generation,0.4532090999999999,National,Hispanic,Hispanic 3rd Generation,2003
479,0.80232418,0.59845054,0.10574556,0.59379292,0.13020892,0.81574124,41104.199,3rd Generation,0.50149953,California,Hispanic,Hispanic 3rd Generation,2003
475,0.71903437,0.59615475,0.12529603,0.4536418,0.087765358,0.68290275,36361.406,3rd Generation,0.51665694,Florida,Hispanic,Hispanic 3rd Generation,2003
473,0.81949759,0.57315618,0.10386972,0.6887337,0.046784057999999996,0.78191572,39523.27,3rd Generation,0.22410564,Illinois,Hispanic,Hispanic 3rd Generation,2003
471,0.69849104,0.81121147,0.21500513,0.65153503,0.22515847,0.86654013,65937.984,3rd Generation,0.32224840000000005,New Jersey,Hispanic,Hispanic 3rd Generation,2003
469,0.69458634,0.43199545,0.2159446,0.5936982,0.22095817,0.72533101,42158.152,3rd Generation,0.45391026,New York,Hispanic,Hispanic 3rd Generation,2003
477,0.76759309,0.64203924,0.22052015,0.66958684,0.14645082,0.70487124,34253.5,3rd Generation,0.41006049999999994,Texas,Hispanic,Hispanic 3rd Generation,2003
81,0.73949748,0.64931786,0.36639801,0.67872143,0.12732676,0.61852717,31420.998,All,0.31529295,National,Hispanic,Hispanic All,2003
491,0.73647845,0.66242349,0.41793633,0.7218883,0.089828596,0.64122844,31787.248,All,0.28361315,California,Hispanic,Hispanic All,2003
487,0.7533654000000001,0.66119003,0.19259882,0.59519786,0.22782971,0.63734835,31618.615,All,0.45604366,Florida,Hispanic,Hispanic All,2003
485,0.74168336,0.70404816,0.37181684,0.69601238,0.081071943,0.66899943,32945.281,All,0.25491109,Illinois,Hispanic,Hispanic All,2003
483,0.74497133,0.6152429,0.23601834,0.64009488,0.23685947,0.67087132,38205.828,All,0.39290649,New Jersey,Hispanic,Hispanic All,2003
481,0.70527929,0.55167001,0.31409428,0.6237911,0.17790581,0.61030346,32936.059,All,0.34098306,New York,Hispanic,Hispanic All,2003
489,0.72745597,0.68286407,0.40725401,0.70594484,0.11603074,0.53084159,27666.289,All,0.29812878,Texas,Hispanic,Hispanic All,2003
80,0.81151533,0.7081899,0.054712277000000004,0.58664334,0.34086302,0.87898427,46637.457,All,0.63107413,National,White,White All,2003
490,0.80527848,0.64756495,0.03016114,0.54994786,0.41189468,0.88212055,54673.855,All,0.75185555,California,White,White All,2003
486,0.80784369,0.67872733,0.05657769,0.53220826,0.33577973,0.84635782,46455.652,All,0.63884073,Florida,White,White All,2003
484,0.81102121,0.7190761,0.040821883999999996,0.58462274,0.36630186,0.89286137,48881.062999999995,All,0.65065658,Illinois,White,White All,2003
482,0.82241726,0.7283144,0.037658095,0.61456198,0.42782292,0.89262176,59284.902,All,0.64943802,New Jersey,White,White All,2003
480,0.80003929,0.69240671,0.038149565,0.58659077,0.38012373,0.89530605,49848.062999999995,All,0.63620043,New York,White,White All,2003
488,0.81916195,0.72741449,0.044255018,0.57916629,0.38710624,0.83851528,50952.082,All,0.70258999,Texas,White,White All,2003
83,0.72929084,0.70459926,0.48318398,0.72976589,0.10381164,0.51121503,25773.502,1st Generation,0.22963199,National,Hispanic,Hispanic 1st Generation,2004
503,0.70165455,0.72104353,0.53801131,0.78002912,0.07353507,0.55135161,28350.852000000003,1st Generation,0.1961398,California,Hispanic,Hispanic 1st Generation,2004
499,0.76592135,0.68392783,0.2226139,0.59349883,0.25395617,0.60959524,30928.201,1st Generation,0.44986570000000003,Florida,Hispanic,Hispanic 1st Generation,2004
497,0.7462333999999999,0.75161672,0.44631377,0.77526867,0.068050817,0.57996005,29639.525,1st Generation,0.20100710000000002,Illinois,Hispanic,Hispanic 1st Generation,2004
495,0.79848981,0.64819229,0.28523186,0.63280964,0.18034264,0.56342,32216.877,1st Generation,0.32281378,New Jersey,Hispanic,Hispanic 1st Generation,2004
493,0.69249547,0.60037643,0.3242369,0.63592947,0.17128846,0.58999026,25773.502,1st Generation,0.35158911,New York,Hispanic,Hispanic 1st Generation,2004
501,0.70581931,0.76503485,0.58973622,0.78739387,0.067406334,0.36997205,24742.561,1st Generation,0.16352446,Texas,Hispanic,Hispanic 1st Generation,2004
