year,wbhao,state,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
1994,White,Florida,All,.08481051,.27890384,.81609744,.82253879,.67250317,.49265975,.047684085,.063164465,.88915145,33931.324
1994,Hispanic,Florida,All,.25809392,.14265729,.59047544,.73597884,.62744361,.53203017,.74803233,.19637692,.055590738,20197.215
1994,White,Texas,All,.064494409,.31170169,.84630138,.81767076,.72608829,.50889957,.025345769,.026431402,.94822282,37553.895
1994,Hispanic,Texas,All,.41323885,.11644744,.60713673,.75292087,.69371039,.68220353,.35671112,.20238742,.44090146,18743.016
1994,White,California,All,.050508574,.33542463,.84220129,.79541057,.64297849,.50197983,.087061182,.09070956,.82222927,41178.082
1994,Hispanic,California,All,.42355219,.074301712,.66046184,.70378554,.67937958,.72817516,.63930595,.15029803,.21039601,19389.326
1995,White,New York,1st Generation,.09508428,.3622404,.76503795,.66605937,.72244257,.49927551,,,,25489.822
1995,Hispanic,New York,1st Generation,.38072199,.10000797,.56660861,.57201165,.60068977,.70900804,,,,14244.546
1995,White,New Jersey,1st Generation,.16799505,.36066425,.73909926,.78106278,.71745676,.55750668,,,,28805.637
1995,Hispanic,New Jersey,1st Generation,.29067743,.11256923,.6446619,.76556695,.65181416,.66270399,,,,22158.182
1995,White,Illinois,1st Generation,.080704033,.40893492,.8961882,.74082816,.78063339,.53168571,,,,33237.273
1995,Hispanic,Illinois,1st Generation,.5104568,.060382262,.73556393,.72892421,.78662097,.69072038,,,,21208.545
1995,White,Florida,1st Generation,.11674515,.28748992,.73010361,.80587155,.7048263,.44663867,,,,31990.084
1995,Hispanic,Florida,1st Generation,.28805026,.16173588,.62793362,.783337,.68435282,.57916594,,,,20645.094
1995,White,Texas,1st Generation,.026292529,.42924139,.86819094,.81981999,.80631834,.60532588,,,,34049.211
1995,Hispanic,Texas,1st Generation,.62466109,.10893805,.42893514,.6805039,.77314079,.76378947,,,,14244.546
1995,White,California,1st Generation,.066006355,.47522774,.75702965,.66074449,.76661456,.57768816,,,,29106.355
1995,Hispanic,California,1st Generation,.58884621,.060178943,.50408816,.64638168,.69093329,.77985579,,,,16492.018
1995,White,New York,2nd Generation,.032829173,.40447646,.86496228,.80737251,.65737569,.44474438,,,,48034.191
1995,Hispanic,New York,2nd Generation,.29936498,.10635068,.81431961,.57468259,.43550754,.60148364,,,,23740.908
1995,White,New Jersey,2nd Generation,.014123504,.39903057,.87839288,.80932158,.64440912,.48726898,,,,50647.273
1995,Hispanic,New Jersey,2nd Generation,.27069667,.11701611,.78427547,.66056955,.56943887,.64132553,,,,29502.037
1995,White,Illinois,2nd Generation,.033186022,.37445596,.8995508,.90593529,.65284568,.45459187,,,,47481.816
1995,Hispanic,Illinois,2nd Generation,.22454858,.23392177,.86959523,.77418649,.64903027,.59415573,,,,33648.781
1995,White,Florida,2nd Generation,.050042771,.37756953,.8966043,.80873513,.74277854,.52370417,,,,41744.434
1995,Hispanic,Florida,2nd Generation,.26574963,.14230841,.81728309,.69662601,.61773056,.64925915,,,,24690.545
1995,White,Texas,2nd Generation,.10261039,.40177032,.85549957,.87056589,.65731245,.48886237,,,,38048.762
1995,Hispanic,Texas,2nd Generation,.29244226,.10650434,.62191945,.68337768,.61655194,.63871455,,,,22159.764
1995,White,California,2nd Generation,.023459267,.3684302,.88644803,.85683674,.651178,.40086401,,,,45914.918
1995,Hispanic,California,2nd Generation,.19944414,.099146724,.77043957,.74070281,.61751831,.61970878,,,,31393.395
1995,White,New York,3rd Generation,.052716583,.35351175,.86613917,.7922346,.66107458,.53201699,,,,39074.371
1995,Hispanic,New York,3rd Generation,.11677675,.089268051,.75557923,.63955796,.51388323,.73759586,,,,22164.514
1995,White,New Jersey,3rd Generation,.038315009,.36687317,.8880285,.82593691,.70801425,.53375185,,,,47103.547
1995,Hispanic,New Jersey,3rd Generation,.2442843,.13320233,1,1,1,.55083752,,,,57690.41
1995,White,Illinois,3rd Generation,.053260732,.326895,.90138918,.85978615,.69776601,.52596092,,,,39824.582
1995,Hispanic,Illinois,3rd Generation,.3183704,.047497544,.77282977,.67707831,.66961277,.66019839,,,,31773.25
1995,White,Florida,3rd Generation,.069815606,.29106733,.8261798,.81602722,.66504836,.4929938,,,,34821.582
1995,Hispanic,Florida,3rd Generation,.28501421,.13754712,.73200822,.64755923,.73743188,.59419602,,,,27370.104
1995,White,Texas,3rd Generation,.051727243,.32968754,.84956795,.83767283,.74901628,.53583997,,,,39568.184
1995,Hispanic,Texas,3rd Generation,.27142349,.087630354,.6995635,.77958369,.72296548,.64068288,,,,23740.908
1995,White,California,3rd Generation,.036134355,.33333322,.84781528,.8102352,.61978626,.48395699,,,,41942.273
1995,Hispanic,California,3rd Generation,.12540768,.084981352,.76884872,.76286554,.56269532,.68932641,,,,28805.637
1995,White,New York,All,.054446712,.36023647,.85638577,.78198296,.66648442,.51880884,.095125258,.11565637,.78921837,39568.184
1995,Hispanic,New York,All,.33701774,.10251571,.68202192,.57513767,.52485424,.66208744,.52726978,.44400805,.028722178,17568.273
1995,White,New Jersey,All,.04774243,.36973599,.87320125,.82000333,.70208883,.53098297,.092641771,.10691229,.80044591,45899.09
1995,Hispanic,New Jersey,All,.28242135,.11470962,.7032665,.73623616,.63363022,.65204161,.62564659,.34496498,.029388431,25026.084
1995,White,Illinois,All,.05362533,.33420351,.90099388,.85584319,.69977432,.52215338,.055571936,.057808049,.88662004,39992.352
1995,Hispanic,Illinois,All,.42280173,.099350013,.77085209,.73375642,.74173629,.66489267,.65733272,.23271075,.10995654,23742.492
1995,White,Florida,All,.07050477,.29653099,.82671237,.81512713,.67176497,.49303862,.042029556,.064900279,.89307016,34851.656
1995,Hispanic,Florida,All,.28235954,.1559661,.67920405,.75653589,.6696952,.59725934,.71224904,.25004861,.037702363,22815.014
1995,White,Texas,All,.052475873,.33357161,.85010475,.83812737,.74790579,.53610682,.020824773,.025122302,.95405293,39568.184
1995,Hispanic,Texas,All,.40201545,.09905728,.58710527,.72474688,.71945995,.68432176,.35770398,.20160455,.44069147,19453.301
1995,White,California,All,.037600629,.34840435,.84336847,.80146599,.63496244,.48487309,.085175402,.085055426,.82976919,41386.734
1995,Hispanic,California,All,.45823771,.069749407,.58495182,.67870378,.65968049,.74237335,.69543356,.14235274,.1622137,18992.727
1996,White,New York,1st Generation,.12948152,.35276371,.7628479,.69084722,.72344685,.48372099,,,,29364.402
1996,Hispanic,New York,1st Generation,.44389656,.08957196,.52450663,.62876439,.52798384,.61533356,,,,16073.146
1996,White,New Jersey,1st Generation,.18395843,.34631011,.77445477,.74813998,.8267498,.61278707,,,,32146.293
1996,Hispanic,New Jersey,1st Generation,.23090325,.1924483,.66546774,.70594847,.69402546,.77789944,,,,23205.605
1996,White,Illinois,1st Generation,.096568987,.26306877,.71211618,.74363875,.7499246,.51994234,,,,27418.625
1996,Hispanic,Illinois,1st Generation,.6400103,.029368,.70420873,.71581298,.72091877,.67290282,,,,19287.775
1996,White,Florida,1st Generation,.057435058,.38728738,.83151764,.79050517,.61309749,.47258195,,,,34000.887
1996,Hispanic,Florida,1st Generation,.24959618,.18532911,.65485442,.71928179,.72529966,.66490573,,,,21142.371
1996,White,Texas,1st Generation,.023867726,.48311749,.91747904,.83557099,.81780928,.43802121,,,,34619.086
1996,Hispanic,Texas,1st Generation,.66669554,.055586439,.41655496,.70288515,.79341877,.7294836,,,,15454.949
1996,White,California,1st Generation,.081181325,.48484409,.80915946,.67895103,.75656551,.62427521,,,,30917.625
1996,Hispanic,California,1st Generation,.64687961,.049340811,.52511483,.67357731,.72585553,.79464746,,,,17283.27
1996,White,New York,2nd Generation,.040775191,.42291006,.91348207,.82600337,.65101296,.4128305,,,,51619.531
1996,Hispanic,New York,2nd Generation,.29131958,.10831784,.8285163,.62240338,.42655104,.5187071,,,,25074.109
1996,White,New Jersey,2nd Generation,.022408275,.3320587,.83825827,.80449063,.61368811,.48572725,,,,46364.848
1996,Hispanic,New Jersey,2nd Generation,.37083724,.03150918,.83302903,.63224506,.54537344,.6782555,,,,23224.152
1996,White,Illinois,2nd Generation,.052621253,.41525447,.9192456,.87200868,.65323448,.41809094,,,,49764.938
1996,Hispanic,Illinois,2nd Generation,.23511952,.19757704,.78495902,.81875247,.44913155,.54529244,,,,32455.393
1996,White,Florida,2nd Generation,.045197453,.36407945,.88281184,.79800725,.58485544,.42477253,,,,32473.939
1996,Hispanic,Florida,2nd Generation,.20895608,.16118003,.76776141,.74802434,.5999161,.65668219,,,,28033.732
1996,White,Texas,2nd Generation,.11072499,.43868387,.88878071,.77903384,.63015485,.53928512,,,,32478.576
1996,Hispanic,Texas,2nd Generation,.30008835,.085043088,.5930137,.70415807,.64982784,.65971529,,,,17000.443
1996,White,California,2nd Generation,.047077619,.45040736,.84656614,.84779721,.5786382,.40062848,,,,47199.414
1996,Hispanic,California,2nd Generation,.15199575,.16473067,.74688363,.80282891,.57452428,.54489261,,,,32223.568
