,year,female,wbhao,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
294,2012,0,Hispanic,1st Generation,0.4139125,0.24872629,0.10676679,0.46860141,0.85434359,0.66111672,0.63946134,27400.727000000003,Hispanic 1st Generation
295,2012,1,Hispanic,1st Generation,0.404223,0.27858633,0.12631693,0.50023252,0.55129874,0.67388952,0.75140965,21077.482000000004,Hispanic 1st Generation
298,2012,0,Hispanic,2nd Generation,0.15329891,0.45873231,0.19042407,0.68634301,0.78028613,0.50948608,0.52700239,40047.215,Hispanic 2nd Generation
299,2012,1,Hispanic,2nd Generation,0.12988029,0.58437401,0.25634345,0.74985194,0.67496395,0.52422667,0.64961469,31282.145,Hispanic 2nd Generation
302,2012,0,Hispanic,3rd Generation,0.11869631,0.49014357,0.17063245,0.73661721,0.75440359,0.51008654,0.50855219,42154.965,Hispanic 3rd Generation
303,2012,1,Hispanic,3rd Generation,0.13448153,0.51948625,0.20585948,0.75035614,0.69969237,0.46315014,0.61736637,31616.222999999998,Hispanic 3rd Generation
306,2012,0,Hispanic,All,0.29437232,0.34579349,0.13865785,0.57295811,0.81700778,0.59591466,0.58713973,31616.222999999998,Hispanic All
307,2012,1,Hispanic,All,0.27436697,0.40956098,0.17673652,0.61946666,0.61600769,0.58840179,0.69540495,25292.979,Hispanic All
304,2012,0,White,All,0.053250328,0.63221568,0.35733563,0.82658905,0.83458173,0.61278999,0.44046456,52746.398,White All
305,2012,1,White,All,0.040646866000000004,0.70013541,0.39350358,0.85562992,0.720855,0.64590394,0.50511861,36911.941,White All
310,2013,0,Hispanic,1st Generation,0.43433574,0.23793389,0.10769241,0.46223843,0.86724705,0.66198194,0.63453168,26840.201,Hispanic 1st Generation
311,2013,1,Hispanic,1st Generation,0.3792986,0.28899795,0.1345676,0.51822311,0.53941578,0.66809446,0.74444592,19613.994,Hispanic 1st Generation
314,2013,0,Hispanic,2nd Generation,0.11749852,0.48887157,0.20434293,0.71788663,0.82357657,0.50579643,0.49863726,38711.828,Hispanic 2nd Generation
315,2013,1,Hispanic,2nd Generation,0.11927681,0.56995195,0.24714038,0.78075659,0.66604483,0.49907184,0.59731197,30969.463,Hispanic 2nd Generation
318,2013,0,Hispanic,3rd Generation,0.13178119,0.45473012,0.17585376,0.71247125,0.79063523,0.46468869,0.50853276,41292.617,Hispanic 3rd Generation
319,2013,1,Hispanic,3rd Generation,0.10234951,0.54916298,0.22087687,0.76111513,0.6617924,0.50082707,0.60086405,30969.463,Hispanic 3rd Generation
322,2013,0,Hispanic,All,0.30053213,0.33910343,0.14343075,0.57148683,0.84145844,0.58589125,0.57793528,31111.924,Hispanic All
323,2013,1,Hispanic,All,0.25035945,0.41924775,0.1825942,0.63988316,0.59930843,0.58724076,0.67453259,24775.57,Hispanic All
320,2013,0,White,All,0.052787818,0.64118385,0.36607128,0.82328027,0.83789533,0.60148132,0.44286963,51790.234000000004,White All
321,2013,1,White,All,0.040453762000000004,0.70596534,0.39932781,0.8560918,0.72377926,0.6386975,0.5084331,37163.355,White All
326,2014,0,Hispanic,1st Generation,0.4467642,0.24135888,0.10073334,0.54461032,0.87883461,0.66720939,0.66084129,27473.408,Hispanic 1st Generation
327,2014,1,Hispanic,1st Generation,0.40643245,0.28842363,0.13827816,0.58829641,0.54905277,0.66255987,0.71487314,20350.672,Hispanic 1st Generation
330,2014,0,Hispanic,2nd Generation,0.11810391,0.49389923,0.21164247,0.76748788,0.81887209,0.49896014,0.47217318,39683.812999999995,Hispanic 2nd Generation
331,2014,1,Hispanic,2nd Generation,0.09922818800000001,0.58655077,0.26090574,0.78734595,0.71514785,0.47868541,0.6231429,30526.007999999998,Hispanic 2nd Generation
334,2014,0,Hispanic,3rd Generation,0.12083865,0.49180311,0.20314687,0.74893481,0.7746138000000001,0.46042794,0.51212436,38666.277,Hispanic 3rd Generation
335,2014,1,Hispanic,3rd Generation,0.11608903,0.57470661,0.20027284,0.81315857,0.67822415,0.48075837,0.62663144,31543.541,Hispanic 3rd Generation
338,2014,0,Hispanic,All,0.29760587,0.35597229,0.14941464,0.64211458,0.84184915,0.58213288,0.58359671,30526.007999999998,Hispanic All
339,2014,1,Hispanic,All,0.26322344,0.42845246,0.18290208,0.68963456,0.62001127,0.57497764,0.67175168,25438.34,Hispanic All
336,2014,0,White,All,0.052306637,0.64401317,0.36748275,0.84764642,0.84229827,0.6021561,0.44485953,52648.207,White All
337,2014,1,White,All,0.036572587000000004,0.72004557,0.41505075,0.86652589,0.73173153,0.63160253,0.51332086,37089.102,White All
342,2015,0,Hispanic,1st Generation,0.43719679,0.22802496,0.10181591,0.599549,0.89250362,0.66667169,0.62426466,30034.502,Hispanic 1st Generation
343,2015,1,Hispanic,1st Generation,0.397863,0.29370645,0.14580876,0.66781956,0.5468052,0.66413027,0.70794737,20023.002,Hispanic 1st Generation
346,2015,0,Hispanic,2nd Generation,0.10504103,0.53412199,0.21833035,0.81720674,0.85398436,0.49063957,0.50512916,40046.004,Hispanic 2nd Generation
347,2015,1,Hispanic,2nd Generation,0.094497204,0.58392823,0.22719356,0.85406077,0.70352787,0.51105565,0.64291871,30034.502,Hispanic 2nd Generation
350,2015,0,Hispanic,3rd Generation,0.11226253,0.52030593,0.20197602,0.80571175,0.79060149,0.48674351,0.47944465,45051.754,Hispanic 3rd Generation
351,2015,1,Hispanic,3rd Generation,0.13047963,0.56651831,0.21614222,0.84937489,0.66169959,0.49934292,0.60227096,30049.52,Hispanic 3rd Generation
354,2015,0,Hispanic,All,0.29411581,0.35849801,0.1493375,0.69200248,0.86351067,0.58935201,0.56748575,33037.953,Hispanic All
355,2015,1,Hispanic,All,0.26335561,0.42618442,0.18158127,0.75428152,0.61110502,0.58959097,0.66831774,25028.752,Hispanic All
352,2015,0,White,All,0.047836076,0.64854431,0.37920776,0.88059258,0.85014594,0.60657871,0.45205322,53861.875,White All
353,2015,1,White,All,0.036439568,0.72668028,0.43057111,0.89837432,0.73607767,0.6355896,0.51564789,38015.672,White All
358,2016,0,Hispanic,1st Generation,0.40110895,0.23005345,0.10426628,0.66981107,0.90324366,0.65526444,0.62172604,30000.0,Hispanic 1st Generation
359,2016,1,Hispanic,1st Generation,0.36597684,0.29158264,0.13544624,0.71112728,0.57447702,0.65687299,0.72173566,21300.0,Hispanic 1st Generation
362,2016,0,Hispanic,2nd Generation,0.09397900099999999,0.52908087,0.23738553,0.8578136000000001,0.85395128,0.4721044,0.48499647,40000.0,Hispanic 2nd Generation
363,2016,1,Hispanic,2nd Generation,0.10533234,0.58540088,0.24335887,0.8839155999999999,0.68830442,0.46651962,0.61530441,31200.0,Hispanic 2nd Generation
366,2016,0,Hispanic,3rd Generation,0.10222503,0.53314275,0.20130607,0.82895261,0.81063038,0.50276464,0.47682694,40000.0,Hispanic 3rd Generation
367,2016,1,Hispanic,3rd Generation,0.09744788,0.58661944,0.2616412,0.8726393,0.69571841,0.47016454,0.60969859,32000.0,Hispanic 3rd Generation
2,2016,0,Hispanic,All,0.26307565,0.36686781,0.15758079,0.74953341,0.8721447,0.57810503,0.55790317,35000.0,Hispanic All
3,2016,1,Hispanic,All,0.2378034,0.43434167,0.19189622,0.79237902,0.63134688,0.56538397,0.6688599000000001,26900.0,Hispanic All
0,2016,0,White,All,0.04642378900000001,0.6645726,0.39212912,0.89181668,0.85861599,0.59695113,0.44429293,55056.0,White All
1,2016,1,White,All,0.036607333,0.73705947,0.44036096,0.90868908,0.74850768,0.63120621,0.50480634,40000.0,White All
