,year,female,wbhao,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
71,1998,1,Hispanic,1st Generation,0.50069374,0.22988243,0.095418721,0.54819012,0.56595683,0.68398261,0.78564548,17697.221,Hispanic 1st Generation
74,1998,0,Hispanic,2nd Generation,0.25860307,0.44609573,0.15684289999999998,0.78296,0.82491165,0.62353176,0.56412691,42714.890999999996,Hispanic 2nd Generation
75,1998,1,Hispanic,2nd Generation,0.24371134,0.42312959,0.16444527,0.78524411,0.67907852,0.55364817,0.67198372,29605.838,Hispanic 2nd Generation
78,1998,0,Hispanic,3rd Generation,0.15827794,0.41013563,0.15017693,0.74886686,0.8521629000000001,0.63127011,0.62911296,42464.492,Hispanic 3rd Generation
79,1998,1,Hispanic,3rd Generation,0.16216102,0.45642188,0.15878099,0.78389519,0.70058823,0.63928479,0.67304021,29461.49,Hispanic 3rd Generation
82,1998,0,Hispanic,All,0.37104186,0.32261923,0.12519318,0.61378986,0.8672002000000001,0.68580037,0.65965837,32404.397999999997,Hispanic All
83,1998,1,Hispanic,All,0.35852131,0.32981464,0.12674274,0.66027182,0.62495774,0.6434960999999999,0.73200697,22977.664,Hispanic All
80,1998,0,White,All,0.074150272,0.59377372,0.3191202,0.85393929,0.90014708,0.67708778,0.48957118,54074.105,White All
81,1998,1,White,All,0.059869424000000004,0.59280515,0.29659507,0.87810421,0.75651282,0.68915272,0.53632426,34046.715,White All
86,1999,0,Hispanic,1st Generation,0.50334984,0.21961452,0.098208331,0.49595261,0.8975302,0.72387785,0.68429673,28185.889,Hispanic 1st Generation
87,1999,1,Hispanic,1st Generation,0.46759579,0.26716512,0.11841692,0.55228883,0.55544472,0.69586432,0.78243393,18918.479,Hispanic 1st Generation
90,1999,0,Hispanic,2nd Generation,0.21304719,0.4407497,0.15961625,0.73263621,0.84388435,0.62352777,0.5672285,41467.191,Hispanic 2nd Generation
91,1999,1,Hispanic,2nd Generation,0.24350519,0.42298454,0.16430579,0.77745211,0.65306091,0.54550737,0.6678341,31390.316000000003,Hispanic 2nd Generation
94,1999,0,Hispanic,3rd Generation,0.18238473,0.43777046,0.13993521,0.74270391,0.86194634,0.64336652,0.6250093000000001,43633.996,Hispanic 3rd Generation
95,1999,1,Hispanic,3rd Generation,0.20198473,0.40997893,0.13736817,0.72507173,0.7306059,0.58007157,0.69647163,27611.854,Hispanic 3rd Generation
98,1999,0,Hispanic,All,0.36631569,0.31770203,0.12093876,0.60410643,0.87788063,0.68378633,0.64580768,33138.582,Hispanic All
99,1999,1,Hispanic,All,0.34745657,0.33982417,0.13381216,0.6485579,0.62322474,0.6314714,0.73395032,23252.086,Hispanic All
96,1999,0,White,All,0.070104346,0.60233313,0.33219308,0.86264497,0.89995718,0.67441255,0.48691154,57258.265999999996,White All
97,1999,1,White,All,0.05913261,0.60015398,0.30578864,0.87918037,0.76330435,0.68834871,0.52762783,36331.387,White All
102,2000,0,Hispanic,1st Generation,0.48491192,0.22016910000000003,0.096068241,0.51911455,0.89515007,0.71187055,0.70228231,28459.338,Hispanic 1st Generation
103,2000,1,Hispanic,1st Generation,0.48968989,0.23929435,0.10950448,0.58020467,0.56499475,0.69727379,0.783822,19921.537,Hispanic 1st Generation
106,2000,0,Hispanic,2nd Generation,0.22910993,0.42791584,0.15251642,0.7344203,0.87977326,0.58699757,0.58446491,39942.68,Hispanic 2nd Generation
107,2000,1,Hispanic,2nd Generation,0.20244662,0.45627984,0.16010544,0.84398913,0.68348211,0.55989033,0.68246764,29597.711,Hispanic 2nd Generation
