year,female,wbhao,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
1997,0,White,2nd Generation,.042110585,.38906339,.87553912,.89866143,.65852034,.44923663,,,,54186.18
1997,1,White,2nd Generation,.046527274,.36561304,.89485586,.7709505,.69221234,.50126415,,,,30095.074
1997,0,Hispanic,2nd Generation,.24773894,.12871407,.71638709,.85272551,.64091295,.58849305,,,,33518.387
1997,1,Hispanic,2nd Generation,.24177417,.14445698,.79310161,.66196507,.55072999,.69402212,,,,19164.543
1997,0,White,3rd Generation,.080168895,.30313265,.85799408,.89656824,.68233097,.49249274,,,,49355.922
1997,1,White,3rd Generation,.065180987,.28367105,.88675779,.76514894,.69349712,.54503763,,,,27010.328
1997,0,Hispanic,3rd Generation,.17582513,.14770535,.73909509,.86074972,.62790996,.6028986,,,,37618.844
1997,1,Hispanic,3rd Generation,.19689888,.12952222,.78986597,.66667908,.61510283,.65448552,,,,17003.717
1997,0,White,All,.078609921,.31420177,.85633051,.89649922,.68250287,.49177906,.038099796,.057293389,.90460682,49676.434
1997,1,White,All,.065497674,.2908074,.88416702,.7598694,.69479305,.54134655,.040273137,.054887448,.9048394,26784.615
1997,0,Hispanic,All,.39051911,.1121869,.60589164,.86158454,.69493419,.65295041,.56409401,.22162591,.21428007,28119.332
1997,1,Hispanic,All,.36939859,.11200857,.66848046,.60084975,.63411814,.71518111,.52716959,.2327347,.24009572,13542.783
1998,0,White,1st Generation,.09479183,.44545767,.79817069,.90159518,.73374009,.4979406,,,,51847.039
1998,1,White,1st Generation,.097746044,.3979609,.81169885,.66576552,.7333408,.52733874,,,,19589.932
1998,0,Hispanic,1st Generation,.49939796,.10350558,.49723211,.88858771,.73069382,.70655674,,,,26512.689
1998,1,Hispanic,1st Generation,.50069374,.095418721,.54819012,.56595683,.68398261,.78564548,,,,10605.076
1998,0,White,2nd Generation,.038003288,.39155686,.88776565,.90674245,.65670681,.45586944,,,,58917.09
1998,1,White,2nd Generation,.044041254,.37958413,.88913125,.76091754,.64524502,.52303094,,,,30788.598
1998,0,Hispanic,2nd Generation,.25860307,.1568429,.78296,.82491165,.62353176,.56412691,,,,37007.297
1998,1,Hispanic,2nd Generation,.24371134,.16444527,.78524411,.67907852,.55364817,.67198372,,,,20056.85
1998,0,White,3rd Generation,.075467803,.30913246,.85430342,.89967823,.6758585,.49127609,,,,51271.125
1998,1,White,3rd Generation,.059144504,.28698474,.88039839,.76030058,.68986386,.53753948,,,,26998.756
1998,0,Hispanic,3rd Generation,.15827794,.15017693,.74886686,.8521629,.63127011,.62911296,,,,36837.91
1998,1,Hispanic,3rd Generation,.16216102,.15878099,.78389519,.70058823,.63928479,.67304021,,,,20906.729
1998,0,White,All,.074150272,.3191202,.85393929,.90014708,.67708778,.48957118,.03963938,.055613358,.90474725,51552.453
1998,1,White,All,.059869424,.29659507,.87810421,.75651282,.68915272,.53632426,.04042872,.055331945,.90423936,26954.568
1998,0,Hispanic,All,.37104186,.12519318,.61378986,.8672002,.68580037,.65965837,.56421226,.20234041,.23344734,29458.545
1998,1,Hispanic,All,.35852131,.12674274,.66027182,.62495774,.6434961,.73200697,.52577233,.22524932,.24897836,14729.272
1999,0,White,1st Generation,.103043,.46242473,.77979404,.87244779,.69013232,.46704718,,,,52317.195
1999,1,White,1st Generation,.10512906,.39155906,.82819444,.68650985,.74218577,.50870335,,,,21871.494
1999,0,Hispanic,1st Generation,.50334984,.098208331,.49595261,.8975302,.72387785,.68429673,,,,26161.504
1999,1,Hispanic,1st Generation,.46759579,.11841692,.55228883,.55544472,.69586432,.78243393,,,,11284.528
1999,0,White,2nd Generation,.033798732,.44606751,.86606729,.89151657,.62389797,.4380067,,,,61182.055
1999,1,White,2nd Generation,.041295916,.35958713,.87055933,.75942093,.64255613,.51950419,,,,32584.893
1999,0,Hispanic,2nd Generation,.21304719,.15961625,.73263621,.84388435,.62352777,.5672285,,,,36331.387
1999,1,Hispanic,2nd Generation,.24350519,.16430579,.77745211,.65306091,.54550737,.6678341,,,,20926.879
1999,0,White,3rd Generation,.07064902,.31985706,.8662225,.90168417,.67654061,.49056825,,,,52463.973
1999,1,White,3rd Generation,.05819501,.29915956,.88181144,.76675701,.6886481,.52888042,,,,29065.109
1999,0,Hispanic,3rd Generation,.18238473,.13993521,.74270391,.86194634,.64336652,.6250093,,,,40926.578
1999,1,Hispanic,3rd Generation,.20198473,.13736817,.72507173,.7306059,.58007157,.69647163,,,,20345.576
1999,0,White,All,.070104346,.33219308,.86264497,.89995718,.67441255,.48691154,.041301366,.051087514,.90761113,53043.824
1999,1,White,All,.05913261,.30578864,.87918037,.76330435,.68834871,.52762783,.038357951,.051049896,.91059214,29065.109
1999,0,Hispanic,All,.36631569,.12093876,.60410643,.87788063,.68378633,.64580768,.55321515,.20768718,.23909765,30227.713
1999,1,Hispanic,All,.34745657,.13381216,.6485579,.62322474,.6314714,.73395032,.51201427,.22820495,.25978079,15847.75
2000,0,White,1st Generation,.089878656,.4410193,.82037175,.90546024,.6968233,.47732088,,,,54926.523
2000,1,White,1st Generation,.084086604,.36189532,.84596872,.67805833,.753187,.52725697,,,,22064.525
2000,0,Hispanic,1st Generation,.48491192,.096068241,.51911455,.89515007,.71187055,.70228231,,,,26637.939
2000,1,Hispanic,1st Generation,.48968989,.10950448,.58020467,.56499475,.69727379,.783822,,,,11383.735
2000,0,White,2nd Generation,.035218958,.46265972,.89434904,.91754407,.61993623,.43342128,,,,65484.938
2000,1,White,2nd Generation,.038721405,.38522574,.92221338,.78947693,.64660937,.48853752,,,,33404.148
2000,0,Hispanic,2nd Generation,.22910993,.15251642,.7344203,.87977326,.58699757,.58446491,,,,37708.621
2000,1,Hispanic,2nd Generation,.20244662,.16010544,.84398913,.68348211,.55989033,.68246764,,,,22767.471
2000,0,White,3rd Generation,.065804459,.31816953,.87818635,.89608651,.67335552,.48449442,,,,54072.742
2000,1,White,3rd Generation,.056573689,.30636013,.90258253,.77306414,.69547683,.52988321,,,,28708.357
2000,0,Hispanic,3rd Generation,.14670455,.14871466,.79336482,.86155552,.6493634,.60314918,,,,39273.887
2000,1,Hispanic,3rd Generation,.17008045,.13574922,.80066752,.703471,.59984392,.68586636,,,,20490.723
2000,0,White,All,.065382175,.33065313,.87641031,.89754713,.6717943,.48168898,.044334758,.048702914,.90696234,54357.336
2000,1,White,All,.05684828,.31232929,.90121144,.76998425,.69551462,.52782816,.040559664,.0471268,.91231352,28684.166
2000,0,Hispanic,All,.36015061,.11864116,.62177598,.88465905,.67410344,.65759277,.58492386,.18955651,.22551963,30394.572
2000,1,Hispanic,All,.34717885,.1272195,.69311881,.62541223,.6427418,.73717999,.53156877,.22257805,.24585317,15652.636
2001,0,White,1st Generation,.088090055,.46650687,.8238979,.88277644,.7087732,.4745709,,,,52849.328
2001,1,White,1st Generation,.091720611,.39773545,.85971755,.65287119,.7453047,.52875972,,,,23259.209
2001,0,Hispanic,1st Generation,.50985932,.088591427,.54859072,.89120191,.72447443,.71037102,,,,27546.336
2001,1,Hispanic,1st Generation,.49259582,.097336277,.61074078,.56948727,.7016173,.75518721,,,,12386.562
2001,0,White,2nd Generation,.029667746,.42925444,.90455031,.9156822,.62918657,.43796781,,,,61932.805
2001,1,White,2nd Generation,.032025199,.39980987,.91765863,.77306324,.65961403,.49447602,,,,33564.828
2001,0,Hispanic,2nd Generation,.21358056,.17839345,.75701886,.81719708,.5707069,.58572882,,,,35786.152
2001,1,Hispanic,2nd Generation,.2227736,.15339701,.79673344,.69976377,.53508162,.67143637,,,,22020.553
2001,0,White,3rd Generation,.062790252,.32223207,.89173144,.89338875,.67504656,.47942334,,,,55051.383
2001,1,White,3rd Generation,.054343477,.31579581,.90244001,.76539034,.69035089,.52384788,,,,29782.799
2001,0,Hispanic,3rd Generation,.16900468,.1538143,.80234593,.87852198,.64612138,.61021286,,,,39912.254
2001,1,Hispanic,3rd Generation,.15808029,.13973722,.82215154,.73137569,.60600376,.66579413,,,,22813.293
2001,0,White,All,.062365294,.33459306,.88907427,.8939867,.67439491,.4771162,.048614521,.049962897,.90142256,55051.383
2001,1,White,All,.055015538,.32363018,.90117943,.7605195,.69143832,.52267116,.046551522,.047848728,.90559977,29591.494
2001,0,Hispanic,All,.38468874,.11870999,.63951457,.87481385,.67974538,.66659003,.60841501,.18626618,.20531879,31654.545
2001,1,Hispanic,All,.35082504,.12015408,.70376885,.63802975,.64126611,.71471888,.53330153,.22177109,.24492739,16482.385
