,year,wbhao,centcity,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
71,1998,Hispanic,1,1st Generation,0.5462146999999999,0.19939408,0.073827319,0.43428272,0.73511213,0.65266389,0.72192466,22130.732000000004,Hispanic 1st Generation
74,1998,Hispanic,0,2nd Generation,0.22992055,0.47381592,0.17115653,0.76739842,0.8161934000000001,0.63508976,0.63217473,36823.18,Hispanic 2nd Generation
75,1998,Hispanic,1,2nd Generation,0.27790487,0.38391769,0.14740965,0.80550611,0.66615081,0.5273456,0.60283107,36823.18,Hispanic 2nd Generation
78,1998,Hispanic,0,3rd Generation,0.17351137,0.41248724,0.14290304,0.75136584,0.75972003,0.67445177,0.67016757,35350.254,Hispanic 3rd Generation
79,1998,Hispanic,1,3rd Generation,0.12874480000000002,0.48264638,0.18192096,0.80203736,0.81543958,0.54250544,0.60596818,33892.055,Hispanic 3rd Generation
82,1998,Hispanic,0,All,0.33653468,0.34748971,0.136098,0.66839117,0.7606885999999999,0.70624179,0.70905644,30146.402000000002,Hispanic All
83,1998,Hispanic,1,All,0.4079968,0.29375759,0.11058323,0.58779669,0.73331314,0.60335487,0.67303914,26542.147999999997,Hispanic All
80,1998,White,0,All,0.067876749,0.57624793,0.28880617,0.86985487,0.82701713,0.70906734,0.53279859,44187.816,White All
81,1998,White,1,All,0.062680133,0.67091757,0.39407191,0.84919715,0.8304956,0.56520641,0.42373449,45931.762,White All
86,1999,Hispanic,0,1st Generation,0.46130636,0.2635361,0.11958792,0.56930643,0.7381804,0.73884922,0.73518538,26158.597999999998,Hispanic 1st Generation
87,1999,Hispanic,1,1st Generation,0.52195036,0.21211194,0.09112074199999999,0.45643073,0.72642767,0.66960007,0.72594655,22670.785,Hispanic 1st Generation
90,1999,Hispanic,0,2nd Generation,0.20949419,0.45649916,0.16124681,0.76142883,0.77762854,0.64351135,0.63818049,36331.387,Hispanic 2nd Generation
91,1999,Hispanic,1,2nd Generation,0.25451496,0.39862424,0.16314483,0.74903119,0.70017904,0.50303203,0.59574842,36418.582,Hispanic 2nd Generation
94,1999,Hispanic,0,3rd Generation,0.18519056,0.42772692,0.13966465,0.75136453,0.79308629,0.66717786,0.70074058,36453.461,Hispanic 3rd Generation
95,1999,Hispanic,1,3rd Generation,0.20797826,0.41412801,0.13638107,0.6963563,0.79482937,0.49216756,0.5817343,34885.398,Hispanic 3rd Generation
98,1999,Hispanic,0,All,0.33317941,0.34854135,0.1336661,0.6591081,0.76149172,0.69947815,0.70582491,30242.246,Hispanic All
99,1999,Hispanic,1,All,0.39343262,0.29826063,0.11766285,0.57576954,0.73418796,0.59327573,0.66515362,26449.248,Hispanic All
96,1999,White,0,All,0.065185308,0.5857982,0.30017671,0.87545818,0.83216673,0.70803225,0.52858794,45123.582,White All
97,1999,White,1,All,0.061738737,0.672167,0.40478846,0.85043854,0.82574373,0.55925387,0.41032323,48393.405999999995,White All
102,2000,Hispanic,0,1st Generation,0.46676683,0.24500656,0.11219653,0.57519704,0.74439979,0.74501407,0.74652982,25613.404,Hispanic 1st Generation
103,2000,Hispanic,1,1st Generation,0.51738942,0.20602961,0.08808823699999999,0.50833839,0.72810006,0.64561468,0.73316348,23678.17,Hispanic 1st Generation
106,2000,Hispanic,0,2nd Generation,0.20610201,0.46041217,0.15713543,0.81008708,0.79922527,0.63519162,0.67816639,35574.172,Hispanic 2nd Generation
107,2000,Hispanic,1,2nd Generation,0.22733305,0.41801885,0.15585782,0.76946867,0.73614663,0.47999233,0.57757241,34151.207,Hispanic 2nd Generation
110,2000,Hispanic,0,3rd Generation,0.14804564,0.46863064,0.14918289,0.80964267,0.77684194,0.6554513000000001,0.67040545,35602.633,Hispanic 3rd Generation
111,2000,Hispanic,1,3rd Generation,0.18311296,0.42109585,0.1258193,0.76939237,0.78393269,0.55233502,0.59265786,34430.105,Hispanic 3rd Generation
114,2000,Hispanic,0,All,0.33121246,0.34656394,0.13084035,0.68346584,0.76380867,0.69966906,0.71294278,29597.711,Hispanic All
115,2000,Hispanic,1,All,0.39002907,0.29351851,0.11012338,0.61536843,0.74053872,0.59155852,0.67226774,27320.965,Hispanic All
112,2000,White,0,All,0.06254366,0.59094888,0.29827416,0.89151806,0.83256382,0.71160889,0.52684975,46169.582,White All
113,2000,White,1,All,0.054381121,0.69574642,0.42809767,0.87679124,0.83698899,0.55532509,0.40384224,49803.84,White All
