,year,wbhao,centcity,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
291,2011,Hispanic,1,All,0.34391659,0.33590567,0.14047645,0.58416742,0.6999196999999999,0.55158883,0.61986524,27177.646,Hispanic All
288,2011,White,0,All,0.052359786,0.634839,0.33583191,0.83727098,0.77386862,0.65909511,0.50457895,43735.355,White All
289,2011,White,1,All,0.037819535,0.76450104,0.50745791,0.83287972,0.78600377,0.52350283,0.37059495,48930.633,White All
294,2012,Hispanic,0,1st Generation,0.38293746,0.28386417,0.12002533,0.50926661,0.71983725,0.69151407,0.70861316,26346.852000000003,Hispanic 1st Generation
295,2012,Hispanic,1,1st Generation,0.44492662,0.23429047,0.11042728,0.44867751,0.70207489,0.63426989,0.66952848,23185.23,Hispanic 1st Generation
298,2012,Hispanic,0,2nd Generation,0.13434313,0.52864212,0.22681299,0.73394358,0.74028021,0.58331138,0.63845187,36885.594,Hispanic 2nd Generation
299,2012,Hispanic,1,2nd Generation,0.14935420000000002,0.51793057,0.22183019,0.7015939999999999,0.70840991,0.43791386,0.53305465,35831.719,Hispanic 2nd Generation
302,2012,Hispanic,0,3rd Generation,0.13447775,0.4808946,0.1742088,0.7415399,0.72419554,0.52951509,0.57694131,35884.414,Hispanic 3rd Generation
303,2012,Hispanic,1,3rd Generation,0.11491024,0.54287237,0.21119627,0.74697298,0.72959161,0.41856405,0.54503012,33723.973,Hispanic 3rd Generation
306,2012,Hispanic,0,All,0.27004084,0.38395178,0.15629895,0.61309671,0.72538227,0.62984759,0.66243315,30562.35,Hispanic All
307,2012,Hispanic,1,All,0.30417177,0.36771935,0.15869325,0.57234216,0.70923418,0.54147869,0.61018729,27400.727000000003,Hispanic All
304,2012,White,0,All,0.048933949000000004,0.64286035,0.34059709,0.84477043,0.77703094,0.65572697,0.49632439,44262.710999999996,White All
305,2012,White,1,All,0.038779668999999996,0.76046115,0.5148977,0.8271215000000001,0.77811819,0.52492911,0.38036564,49532.082,White All
310,2013,Hispanic,0,1st Generation,0.38376024,0.27922088,0.12835847,0.50216258,0.72103828,0.6822626,0.7061670999999999,25807.887000000002,Hispanic 1st Generation
311,2013,Hispanic,1,1st Generation,0.44140732,0.23883617,0.10957514,0.47029898,0.70410669,0.64178365,0.6592893,22710.939,Hispanic 1st Generation
314,2013,Hispanic,0,2nd Generation,0.10907774,0.54329199,0.22993746,0.74866527,0.74896431,0.5453161,0.60946029,36131.039,Hispanic 2nd Generation
315,2013,Hispanic,1,2nd Generation,0.13017552,0.51557958,0.22237778,0.75295699,0.73254609,0.44820422,0.47505915,35100.789,Hispanic 2nd Generation
318,2013,Hispanic,0,3rd Generation,0.1132587,0.50626063,0.18524937,0.7304014,0.72110033,0.51217943,0.55267161,35099.758,Hispanic 3rd Generation
319,2013,Hispanic,1,3rd Generation,0.12176631,0.49896529,0.22018789,0.74845386,0.72909784,0.43907383,0.56135041,36133.105,Hispanic 3rd Generation
322,2013,Hispanic,0,All,0.25826317,0.39218497,0.16472492,0.61140662,0.72740966,0.61149532,0.64842117,30969.463,Hispanic All
323,2013,Hispanic,1,All,0.29974505,0.35985690000000004,0.15984434,0.59646422,0.71618611,0.55287254,0.59416223,27872.517999999996,Hispanic All
320,2013,White,0,All,0.049181495,0.64934379,0.34930021,0.8415466,0.77751619,0.64600831,0.50059164,43492.48,White All
321,2013,White,1,All,0.036054935,0.77204198,0.51679343,0.83322567,0.79075116,0.51786417,0.37815237,48518.824,White All
326,2014,Hispanic,0,1st Generation,0.40245086,0.27750823,0.12957107,0.57255346,0.72908682,0.68386024,0.68948585,26354.121,Hispanic 1st Generation
327,2014,Hispanic,1,1st Generation,0.46090126,0.24553691,0.1040657,0.55594331,0.7119835,0.63992983,0.68271822,22385.74,Hispanic 1st Generation
330,2014,Hispanic,0,2nd Generation,0.10393989999999999,0.56011528,0.27554196,0.77775639,0.76040375,0.54007441,0.57699883,35613.676,Hispanic 2nd Generation
331,2014,Hispanic,1,2nd Generation,0.11491072,0.51383889,0.18524469,0.77682126,0.77635372,0.42289257,0.50862139,32868.371,Hispanic 2nd Generation
334,2014,Hispanic,0,3rd Generation,0.10331710000000001,0.51726311,0.19579224,0.78592819,0.73007876,0.50780088,0.5863719000000001,35613.676,Hispanic 3rd Generation
335,2014,Hispanic,1,3rd Generation,0.14610861,0.56322592,0.21250118,0.77269638,0.71886963,0.40276149,0.53933525,35616.73,Hispanic 3rd Generation
338,2014,Hispanic,0,All,0.2587322,0.40277070000000004,0.17994826,0.6732738,0.73660964,0.60668594,0.63771719,30526.007999999998,Hispanic All
339,2014,Hispanic,1,All,0.31214613,0.37504703,0.14562012,0.6539458,0.72971588,0.53897852,0.61075598,27638.248,Hispanic All
336,2014,White,0,All,0.046445992,0.65743792,0.35518348,0.85912836,0.78303015,0.64413768,0.49923658,44008.328,White All
337,2014,White,1,All,0.036426529,0.77668458,0.52820593,0.84999281,0.79860944,0.515423,0.40552723,48867.051,White All
342,2015,Hispanic,0,1st Generation,0.40422088,0.26328138,0.12591733,0.63136238,0.72863799,0.69083148,0.67838043,26029.902000000002,Hispanic 1st Generation
343,2015,Hispanic,1,1st Generation,0.43932706,0.25351843,0.11817697,0.6331352,0.72650307,0.62825215,0.64325744,25029.754,Hispanic 1st Generation
346,2015,Hispanic,0,2nd Generation,0.10274894,0.55525666,0.22405456,0.84552145,0.78473824,0.5342316,0.61418205,35520.805,Hispanic 2nd Generation
347,2015,Hispanic,1,2nd Generation,0.095561936,0.56410438,0.22084801,0.82119799,0.77116567,0.45279613,0.51547271,35040.254,Hispanic 2nd Generation
350,2015,Hispanic,0,3rd Generation,0.12905268,0.53305626,0.18912162,0.84332305,0.72121084,0.52312934,0.57445019,36355.766,Hispanic 3rd Generation
351,2015,Hispanic,1,3rd Generation,0.11171151,0.56135547,0.23840308,0.80813444,0.72421384,0.451125,0.50161672,35540.828,Hispanic 3rd Generation
354,2015,Hispanic,0,All,0.27412197,0.38995773,0.16282691,0.72718364,0.7407499,0.61814147,0.64132208,30034.502,Hispanic All
355,2015,Hispanic,1,All,0.28599349,0.39454287,0.16867833,0.71612984,0.73699248,0.54790676,0.58208406,30034.502,Hispanic All
352,2015,White,0,All,0.046164367000000005,0.66105056,0.36506882,0.88854486,0.78884292,0.64259672,0.5081712,45051.754,White All
353,2015,White,1,All,0.026689228,0.78954989,0.55707908,0.89323002,0.80827749,0.53941131,0.39181268,50060.508,White All
358,2016,Hispanic,0,1st Generation,0.37665766,0.26013139,0.12291267,0.69756138,0.74232727,0.67731863,0.67774945,28000.0,Hispanic 1st Generation
359,2016,Hispanic,1,1st Generation,0.39535967,0.25887603,0.11386289,0.67805117,0.74953443,0.62472409,0.65807623,26000.0,Hispanic 1st Generation
362,2016,Hispanic,0,2nd Generation,0.095472448,0.561692,0.23302379,0.86590254,0.77327162,0.50156236,0.58652562,38000.0,Hispanic 2nd Generation
363,2016,Hispanic,1,2nd Generation,0.10522725,0.55129111,0.25016379,0.87746954,0.76832253,0.42633253,0.50163114,35000.0,Hispanic 2nd Generation
366,2016,Hispanic,0,3rd Generation,0.099625386,0.52370268,0.20406158,0.85410476,0.74449521,0.51829708,0.57471502,37004.0,Hispanic 3rd Generation
367,2016,Hispanic,1,3rd Generation,0.099868938,0.61864871,0.27720985,0.84838378,0.7594821999999999,0.43563783,0.50311106,35000.0,Hispanic 3rd Generation
2,2016,Hispanic,0,All,0.24650519,0.39241225,0.16792715,0.77345389,0.75048357,0.5990451,0.63265926,31460.0,Hispanic All
3,2016,Hispanic,1,All,0.25645450000000003,0.41159827,0.18415646,0.76679587,0.7566427,0.53240472,0.58407313,30000.0,Hispanic All
0,2016,White,0,All,0.045696266,0.673693,0.37506789,0.90013659,0.79976904,0.64314556,0.50686514,45200.0,White All
1,2016,White,1,All,0.026702637,0.79711145,0.56107378,0.90103102,0.81437528,0.51335073,0.36305884,52081.0,White All
