year,wbhao,centcity,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
1997,White,0,2nd Generation,.044421237,.35649711,.89981705,.83594412,.72157216,.50109667,,,,42509.293
1997,White,1,2nd Generation,.043841731,.45011118,.83406901,.83442885,.51453501,.38436052,,,,42584.527
1997,Hispanic,0,2nd Generation,.21103512,.1453349,.7616412,.78264469,.649984,.6728518,,,,28590.32
1997,Hispanic,1,2nd Generation,.28882241,.1251411,.74567276,.72443789,.52512211,.59989333,,,,26074.371
1997,White,0,3rd Generation,.07547351,.27566913,.87327617,.82973021,.71526814,.53883147,,,,36875.492
1997,White,1,3rd Generation,.058350194,.38106725,.86867815,.83290881,.55217248,.42039058,,,,39921.113
1997,Hispanic,0,3rd Generation,.20887123,.12492978,.74348903,.73472875,.63417923,.64183021,,,,24777.273
1997,Hispanic,1,3rd Generation,.14026913,.16637127,.81092232,.81487501,.59434468,.60371709,,,,30095.074
1997,White,0,All,.074653186,.28322956,.87298423,.82777953,.71645445,.53703195,.029947307,.052968655,.91708404,37233.625
1997,White,1,All,.059772946,.39054924,.85836762,.82662445,.56109571,.42368257,.08172445,.070384696,.84789085,39198.832
1997,Hispanic,0,All,.36439553,.12215852,.65567839,.73954087,.69933021,.70193571,.52544624,.21631826,.25823551,21517.977
1997,Hispanic,1,All,.40343475,.09735053,.60813022,.72709084,.61537546,.65593368,.57637537,.24276371,.18086094,21066.551
1998,White,0,1st Generation,.10113176,.39960515,.83148193,.78881443,.76244515,.53373754,,,,35350.254
1998,White,1,1st Generation,.087401859,.46107537,.7564559,.76772898,.68033916,.47462624,,,,30931.473
1998,Hispanic,0,1st Generation,.4656291,.11899488,.58556122,.73997039,.7506901,.75954223,,,,19589.932
1998,Hispanic,1,1st Generation,.5462147,.073827319,.43428272,.73511213,.65266389,.72192466,,,,17675.127
1998,White,0,2nd Generation,.03467989,.36877382,.89864081,.83407372,.68158847,.52174991,,,,44209.91
1998,White,1,2nd Generation,.063976221,.44590771,.85173994,.83059305,.5404709,.37413669,,,,44472.094
1998,Hispanic,0,2nd Generation,.22992055,.17115653,.76739842,.8161934,.63508976,.63217473,,,,30636.887
1998,Hispanic,1,2nd Generation,.27790487,.14740965,.80550611,.66615081,.5273456,.60283107,,,,23530.012
1998,White,0,3rd Generation,.068647802,.28035167,.86951584,.82792914,.70881224,.53340524,,,,37313.664
1998,White,1,3rd Generation,.060312908,.3838706,.85749751,.83624041,.5565924,.42295563,,,,40271.305
1998,Hispanic,0,3rd Generation,.17351137,.14290304,.75136584,.75972003,.67445177,.67016757,,,,27985.617
1998,Hispanic,1,3rd Generation,.1287448,.18192096,.80203736,.81543958,.54250544,.60596818,,,,29458.545
1998,White,0,All,.067876749,.28880617,.86985487,.82701713,.70906734,.53279859,.031633835,.052951302,.91541487,37559.645
1998,White,1,All,.062680133,.39407191,.84919715,.8304956,.56520641,.42373449,.07833273,.066954345,.8547129,40177.035
1998,Hispanic,0,All,.33653468,.136098,.66839117,.7606886,.70624179,.70905644,.51966798,.19888741,.28144461,23566.836
1998,Hispanic,1,All,.4079968,.11058323,.58779669,.73331314,.60335487,.67303914,.58478504,.23546435,.17975061,19884.518
1999,White,0,1st Generation,.088245995,.4352586,.85303861,.79888356,.77813601,.52739298,,,,37058.012
1999,White,1,1st Generation,.13210939,.4150773,.71509659,.75227219,.60417366,.41614234,,,,35953.539
1999,Hispanic,0,1st Generation,.46130636,.11958792,.56930643,.7381804,.73884922,.73518538,,,,21159.398
1999,Hispanic,1,1st Generation,.52195036,.091120742,.45643073,.72642767,.66960007,.72594655,,,,18136.627
1999,White,0,2nd Generation,.032171208,.38414079,.87797445,.82328647,.67467862,.5218333,,,,45777.547
1999,White,1,2nd Generation,.055503953,.46315697,.83637732,.83025426,.49619207,.33749479,,,,45050.918
1999,Hispanic,0,2nd Generation,.20949419,.16124681,.76142883,.77762854,.64351135,.63818049,,,,29791.736
1999,Hispanic,1,2nd Generation,.25451496,.16314483,.74903119,.70017904,.50303203,.59574842,,,,26158.598
1999,White,0,3rd Generation,.066121034,.29127648,.87608224,.83374745,.70740229,.52897841,,,,39752.348
1999,White,1,3rd Generation,.055601075,.39929056,.86426473,.83230698,.55992115,.41542765,,,,43307.012
1999,Hispanic,0,3rd Generation,.18519056,.13966465,.75136453,.79308629,.66717786,.70074058,,,,29068.016
1999,Hispanic,1,3rd Generation,.20797826,.13638107,.6963563,.79482937,.49216756,.5817343,,,,27768.805
1999,White,0,All,.065185308,.30017671,.87545818,.83216673,.70803225,.52858794,.031005617,.047768354,.92122602,39986.324
1999,White,1,All,.061738737,.40478846,.85043854,.82574373,.55925387,.41032323,.080306239,.066234313,.85345942,42394.367
1999,Hispanic,0,All,.33317941,.1336661,.6591081,.76149172,.69947815,.70582491,.5180158,.20394179,.27804244,23313.123
1999,Hispanic,1,All,.39343262,.11766285,.57576954,.73418796,.59327573,.66515362,.55517668,.23947522,.2053481,20636.227
2000,White,0,1st Generation,.07839217,.39438313,.84586447,.8016367,.7680378,.53573906,,,,39251.117
