,% Employed,% Married,% less than High School diploma,% with College Degree,% with Health Insurance,Median Individual Real Income,igen,scol,wbhao,wbhao_igen,year
24,0.71629119,0.72314823,0.56125611,0.052384596,0.47962412,25095.496,1st Generation,0.14410938,Mexican,Mexican 1st Generation,2005
25,0.785748,0.60874033,0.1843852,0.13825187,0.75550646,35886.559,2nd Generation,0.47867098,Mexican,Mexican 2nd Generation,2005
24,0.77332193,0.62906379,0.33490169,0.17344998,0.61116844,30114.593999999997,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2005
25,0.74881995,0.560027,0.15233879,0.23639435,0.79687423,40152.793,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2005
26,0.73569202,0.737881,0.55663061,0.051365275,0.47267663,24273.266,1st Generation,0.14660545,Mexican,Mexican 1st Generation,2006
27,0.76920241,0.59454519,0.1712736,0.15975493,0.7323904,37623.562999999995,2nd Generation,0.49039719,Mexican,Mexican 2nd Generation,2006
26,0.77684897,0.63846791,0.31345129,0.17416295,0.59666616,29127.92,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2006
27,0.74410194,0.51370668,0.14140858,0.22743407,0.77462256,41264.551,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2006
28,0.72489101,0.74027485,0.55084532,0.056492042,0.44604483,25627.145,1st Generation,0.15690432,Mexican,Mexican 1st Generation,2007
29,0.80494738,0.62367618,0.15135044,0.18325581,0.74323618,37617.824,2nd Generation,0.50228572,Mexican,Mexican 2nd Generation,2007
28,0.77695286,0.67054194,0.30046305,0.16443336,0.56423336,28213.369,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2007
29,0.74060893,0.51024848,0.15070036,0.23990767,0.77968115,43507.367,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2007
30,0.70006502,0.74217463,0.55129921,0.053076137,0.45196387,25149.049,1st Generation,0.15488011,Mexican,Mexican 1st Generation,2008
31,0.80897874,0.59853047,0.14018023,0.16958682,0.73377275,37723.57,2nd Generation,0.51364976,Mexican,Mexican 2nd Generation,2008
30,0.78207225,0.64141321,0.2628822,0.19279662,0.58116907,30864.74,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2008
31,0.79293114,0.50187898,0.1252221,0.25614265,0.78179598,43311.234000000004,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2008
32,0.66598552,0.72273737,0.54558748,0.051640254000000003,0.44180018,24218.779,1st Generation,0.14634372,Mexican,Mexican 1st Generation,2009
33,0.75277692,0.57547015,0.17221868,0.14710976,0.69345856,35229.516,2nd Generation,0.4866724,Mexican,Mexican 2nd Generation,2009
32,0.76228958,0.63626415,0.28468814,0.19389920000000002,0.59076446,28512.109,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2009
33,0.71540534,0.51598775,0.13859044,0.25915375,0.81214988,42052.609000000004,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2009
34,0.6702646,0.6978575,0.51947242,0.065122724,0.43202454,22977.664,1st Generation,0.16263005,Mexican,Mexican 1st Generation,2010
35,0.76525724,0.55742973,0.14336908,0.17011027,0.66280651,33140.863,2nd Generation,0.46895626,Mexican,Mexican 2nd Generation,2010
34,0.72629976,0.60752475,0.29494742,0.19813219,0.52310044,27617.387000000002,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2010
35,0.70834702,0.47090545,0.13905746,0.27344063,0.76013398,41315.609,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2010
36,0.67280436,0.68945235,0.53238267,0.05092863,0.43443045,23916.327999999998,1st Generation,0.16124165,Mexican,Mexican 1st Generation,2011
37,0.77357996,0.52234292,0.14813776,0.16574474,0.71862942,35874.492,2nd Generation,0.48327464,Mexican,Mexican 2nd Generation,2011
36,0.73414528,0.60263532,0.27782145,0.18215764,0.56091279,27177.646,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2011
37,0.71038747,0.48724085,0.13202715,0.26448499999999997,0.78156358,38071.535,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2011
38,0.69288468,0.69945037,0.50370371,0.062604487,0.42923102,23185.23,1st Generation,0.17014155,Mexican,Mexican 1st Generation,2012
39,0.7446086999999999,0.53130388,0.15827592,0.19256410000000002,0.65326118,35831.719,2nd Generation,0.49591944,Mexican,Mexican 2nd Generation,2012
38,0.74718207,0.60882199,0.23938826,0.21202533,0.58109558,27405.996,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2012
39,0.70539981,0.50177372,0.12268748,0.25912663,0.79053611,36885.594,2nd Generation,,Non-Mexican,Non-Mexican 2nd Generation,2012
40,0.69104093,0.69188577,0.49661702,0.059780772999999995,0.43730864,23536.792999999998,1st Generation,0.17623486,Mexican,Mexican 1st Generation,2013
41,0.77089959,0.53275675,0.1349569,0.17458096,0.71611059,34204.738,2nd Generation,0.50209635,Mexican,Mexican 2nd Generation,2013
40,0.75441492,0.61642826,0.2509217,0.22858560000000003,0.58001655,26840.201,1st Generation,,Non-Mexican,Non-Mexican 1st Generation,2013
