year,age_arrive_cat,lths,college,hinsured,employed,married2,children,rincp_all
2008,5,.048956294,.36314541,.86794072,.81259739,.65440857,.48539892,40083.012
2009,1,.23773828,.17937455,.63685244,.77611113,.62804979,.68720204,26422.689
2009,2,.48993912,.056947973,.52621955,.69195986,.71587598,.75856906,22017.072
2009,3,.493949,.10000523,.44281137,.68329257,.69868904,.67553723,17613.658
2009,4,.15647486,.19956572,.74902666,.73528051,.54762208,.61278844,30834.91
2009,5,.050131205,.35638726,.86065829,.77996105,.65279686,.48555857,38529.875
2010,1,.22652213,.17992371,.59573269,.73544616,.62524527,.67288238,27617.387
2010,2,.48114711,.065056466,.49802932,.6943894,.69034523,.76880288,20105.457
2010,3,.46864533,.11770938,.42055726,.67802984,.66443998,.69141477,17233.248
2010,4,.14132291,.21914774,.70899522,.73824936,.51636791,.62355793,28733.129
2010,5,.050942089,.3563858,.83462757,.77228206,.63985288,.48578036,37913.148
2011,1,.26532722,.14642024,.61459899,.74948061,.61270344,.67111105,26090.541
2011,2,.50640482,.05614553,.50458425,.70996481,.656582,.75593096,19570.08
2011,3,.44432661,.10871604,.44031325,.67620718,.66854686,.67274857,16958.852
2011,4,.14014794,.21471354,.74984068,.74224061,.50493455,.59918523,28264.752
2011,5,.04941079,.37064043,.83638036,.77632982,.63159478,.4774048,37722.574
2012,1,.22670877,.14052151,.61053884,.74518257,.58092469,.62669814,23185.23
2012,2,.46787131,.090781942,.46703765,.72016555,.63265944,.70368761,21077.482
2012,3,.42187825,.12355811,.46162432,.70006949,.70644182,.70135033,16864.094
2012,4,.14117725,.22454445,.71921575,.72577053,.51711595,.59046745,26354.229
2012,5,.046896588,.37556884,.84122932,.7772491,.62948364,.47305837,36885.594
2013,1,.20473222,.16982278,.63754702,.75778633,.56478792,.65223837,25807.887
2013,2,.45478386,.081100866,.48552629,.72023177,.64667636,.71602094,18788.141
2013,3,.43610489,.12743364,.45299867,.69964141,.69861537,.67946422,17557.621
2013,4,.11842287,.22658895,.75056624,.74169195,.50230098,.54992813,27872.518
2013,5,.046548743,.3828938,.83987772,.78017068,.62030679,.47603434,36141.363
2014,1,.26112491,.1695987,.67542487,.70718855,.56887168,.62713534,24420.807
2014,2,.4913356,.065081663,.52589774,.74151963,.63906837,.72982347,20350.672
2014,3,.43664175,.13387161,.5580132,.71500266,.70354575,.67896986,18447.885
2014,4,.1087316,.23610303,.77734798,.76737016,.48889318,.5471338,27473.408
2014,5,.044338819,.39157146,.85720712,.78630662,.61706793,.47952875,36631.211
2015,1,.23716858,.16846864,.76327735,.75880569,.59589797,.60896409,25028.752
2015,2,.47147408,.072680078,.61269635,.71438903,.63857371,.71704793,21024.152
2015,3,.43478498,.13779531,.61037409,.72721988,.69632554,.64996231,19282.15
2015,4,.09979777,.22273786,.83553362,.77916497,.50079215,.57364947,30022.488
2015,5,.042115048,.40499207,.88951898,.79288381,.62114215,.48397765,37752.367
